District	Incumbent	Party	First elected	Result	Candidates
Florida 1	Robert L. F. Sikes	Democratic	1940	Re-elected	Robert L. F. Sikes (D) Unopposed
Florida 2	Don Fuqua Redistricted from 9th	Democratic	1962	Re-elected	Don Fuqua (D) 76.3% Harold Hill (R) 23.7%
Florida 2	Donald Ray Matthews Redistricted from 8th	Democratic	1952	Lost renomination Democratic loss	Don Fuqua (D) 76.3% Harold Hill (R) 23.7%
Florida 3	Charles Edward Bennett Redistricted from 2nd	Democratic	1948	Re-elected	Charles Edward Bennett (D) Unopposed
Florida 4	Albert S. Herlong, Jr. Redistricted from 5th	Democratic	1948	Re-elected	Albert S. Herlong, Jr. (D) Unopposed
Florida 5	Edward J. Gurney Redistricted from 11th	Republican	1962	Re-elected	Edward J. Gurney (R) Unopposed
Florida 6	Sam M. Gibbons Redistricted from 10th	Democratic	1962	Re-elected	Sam M. Gibbons (D) Unopposed
Florida 9	Paul Rogers Redistricted from 6th	Democratic	1954	Re-elected	Paul Rogers (D) Unopposed
Florida 10	None (District created)	None (District created)	None (District created)	New seat Republican gain	J. Herbert Burke (R) 61.1% Joe Varon (D) 38.9%
Florida 11	Claude Pepper Redistricted from 3rd	Democratic	1962	Re-elected	Claude Pepper (D) Unopposed
