Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1992	Marko Goljak	Andrea Jurcic	No competition	No competition	No competition
1993	Tomislav Furdin	Andrea Jurcic	Alan Kreizeger Daniel Lacko	Andrea Jurcic Tanja Vejnovic	Daniel Lacko Andrea Jurcic
1994	Antun Horvat	Andrea Jurcic	Antun Horvat Tomislav Furdin	Renata Horvat Lidija Petrinovic	Antun Horvat Renata Horvat
1995	Tomislav Furdin	Andrea Jurcic	Antun Horvat Tomislav Furdin	Andrea Jurcic Snjezana Milesevic	Silvio Jurcic Andrea Jurcic
1996	Tomislav Furdin	Andrea Jurcic	Silvio Jurcic Miroslav Sikavica	Andrea Jurcic Snjezana Milesevic	Silvio Jurcic Andrea Jurcic
1997	Tomislav Furdin	Andrea Jurcic	Tomislav Furdin Antun Horvat	Andrea Jurcic Snjezana Milesevic	Silvio Jurcic Andrea Jurcic
1998	Vedran Ciganovic	Andrea Jurcic	Arni Badjuk Damir Ilic	Andrea Jurcic Snjezana Milesevic	Silvio Jurcic Andrea Jurcic
1999	Silvio Jurcic	Andrea Jurcic	Josip Bare Janko Hranilovic	Andrea Jurcic Morana Esih	Silvio Jurcic Andrea Jurcic
2000	Vedran Ciganovic	Andrea Jurcic	Tomislav Furdin Antun Horvat	Mateja Salov Maja Savor	Silvio Jurcic Andrea Jurcic
2001	Vedran Ciganovic	Matea Čiča	Vedran Ciganovic Hrvoje Kazesovic	Mateja Čiča Morana Esih	Vedran Ciganovic Ana Juric
2002	Vedran Ciganovic	Matea Čiča	Vedran Ciganovic Janko Hranilovic	Matea Čiča Morana Esih	Neven Rihtar Maja Savor
2003	Vedran Ciganovic	Andra Žvorc	Vedran Ciganovic Janko Hranilovic	Andrea Žvorc Staša Poznanovic	Neven Rihtar Maja Savor
2004	Vedran Ciganovic	Matea Čiča	Zvonimir Đurkinjak Luka Zdenjak	Matea Cica Morana Esih	Neven Rihtar Maja Savor
2005	Neven Rihtar	No competition	Neven Rihtar Vedran Ciganovic	No competition	Zvonimir Đurkinjak Andrea Žvorc
2006	Vedran Ciganovic	Andrea Žvorc	Zvonimir Đurkinjak Luka Zdenjak	Andrea Žvorc Staša Poznanović	Zvonimir Đurkinjak Staša Poznanović
2007	Zvonimir Đurkinjak	Andrea Žvorc	Zvonimir Đurkinjak Luka Zdenjak	Matea Čiča Morana Esih	Zvonimir Đurkinjak Staša Poznanović
2008	Luka Zdenjak	Petra Petranović	Zvonimir Đurkinjak Luka Zdenjak	Matea Čiča Staša Poznanović	Zvonimir Đurkinjak Staša Poznanović
2009	Zvonimir Đurkinjak	Andrea Žvorc	Igor Čimbur Zvonimir Hölbling	Matea Čiča Andrea Žvorc	Igor Čimbur Matea Čiča
