Res.	Record	Opponent	Method	Event	Round	Location
Loss	13-7-2	Fabricio Werdum	KO (punch)	Jungle Fight 2	2	Manaus , Brazil
Win	13-6-2	Erik Wanderley	Decision	Heat FC 2: Evolution	3	Natal , Brazil
Win	12-6-2	Rodrigo Gripp de Sousa	Technical Submission (guillotine choke)	Jungle Fight 1	1	Manaus , Brazil
Loss	11-6-2	Forrest Griffin	Submission (rear naked choke)	Heat FC 1: Genesis	1	Natal , Brazil
Draw	11-5-2	Gary Goodridge	Draw	Inoki Bom-Ba-Ye 2001	5	Saitama , Japan
Win	11-5-1	Daijiro Matsui	Decision	PRIDE 15	3	Saitama , Japan
Loss	10-5-1	Akira Shoji	Decision	PRIDE Grand Prix 2000 Opening Round	1	Tokyo , Japan
Loss	10-4-1	Kazushi Sakuraba	Submission (armbar)	PRIDE 6	1	Yokohama , Japan
Draw	10-3-1	Masakatsu Funaki	Draw	Pancrase - Breakthrough 4	1	Yokohama , Japan
Win	10-3	Jeremy Horn	Submission (guillotine choke)	UFC Brazil	1	Brazil
Win	9-3	Branden Lee Hinkle	Submission (triangle choke)	IVC 6: The Challenge	1	Brazil
Loss	8-3	Dan Severn	TKO (doctor stoppage)	IVC 1: Real Fight Tournament	1	Brazil
Loss	8-2	Kevin Randleman	Decision	Universal Vale Tudo Fighting 6	1	Brazil
Win	8-1	Rei Zulu	N/A	Freestyle de Belem 1	N/A	Belém , Brazil
Win	7-1	Silvio Vieira	N/A	Freestyle de Belem 1	N/A	Belém , Brazil
Win	6-1	Francisco Nonato	N/A	Freestyle de Belem 1	N/A	Belém , Brazil
Win	5-1	Fernando Cerchiari	TKO (cut)	Brazilian Vale Tudo Fighting 1	1	Brazil
Win	4-1	Carlos Alberto Regis	Submission (strikes)	Brazilian Vale Tudo Fighting 1	1	Brazil
Win	3-1	Naohisa Kawamura	KO (punches)	Universal Vale Tudo Fighting 1	1	Japan
Win	2-1	Drago Drago	Submission (strikes)	Gaisei Challenge Vale Tudo 2	1	Brazil
Loss	1-1	Jorge Pereira	TKO (strikes)	Circuito de Lutas 3	1	Brazil
Win	1-0	Agrinaldo Ralei	Submission (strikes)	Circuito de Lutas 3	1	Brazil
