Date	Venue	Score	Result	Competition
August 25, 1980	Chuncheon	1 goal	3-0	1980 President's Cup
August 27, 1980	Daejeon	1 goal	3-2	1980 President's Cup
September 16, 1980	Kuwait City	1 goal	1-1	1980 AFC Asian Cup
September 19, 1980	Kuwait City	1 goal	2-0	1980 AFC Asian Cup
September 21, 1980	Kuwait City	2 goals	3-0	1980 AFC Asian Cup
September 24, 1980	Kuwait City	3 goals	4-1	1980 AFC Asian Cup
April 24, 1981	Kuwait City	2 goals	5-1	1982 FIFA World Cup qualification
March 21, 1982	Seoul	1 goal	3-0	Korea-Japan Annual Match
May 10, 1982	Bangkok	1 goal	2-0	1982 King's Cup
June 11, 1982	Gwangyang	1 goal	3-0	1982 President's Cup
November 21, 1982	New Delhi	2 goals	3-0	1982 Asian Games
June 6, 1985	Daejeon	1 goal	3-2	1985 President's Cup
June 8, 1985	Gwangju	2 goals	3-0	1985 President's Cup
June 15, 1985	Seoul	2 goals	2-0	1985 President's Cup
July 30, 1985	Jakarta	1 goal	4-1	1986 FIFA World Cup qualification
December 14, 1985	Nezahualcoyotl	1 goal	2-0	1985 Mexico Tournament
June 10, 1986	Puebla	1 goal	2-3	1986 FIFA World Cup
September 20, 1986	Busan	1 goal	3-0	1986 Asian Games
October 3, 1986	Seoul	2 goals	4-0	1986 Asian Games
June 19, 1988	Suwon	1 goal	4-0	1988 President's Cup
October 26, 1988	Tokyo	1 goal	1-0	Korea-Japan Annual Match
May 27, 1989	Seoul	1 goal	3-0	1990 FIFA World Cup qualification
