Tie no	Home team	Score	Away team	Date	Attendance
1	Blackpool	1 – 2	Crystal Palace	4 January 2003	9,062
2	Darlington	2 – 3	Farnborough Town	4 January 2003	4,260
3	Bournemouth	0 – 0	Crewe Alexandra	4 January 2003	7,252
Replay	Crewe Alexandra	2 – 2	Bournemouth	14 January 2003	4,540
Bournemouth won 3 – 1 on penalties	Bournemouth won 3 – 1 on penalties	Bournemouth won 3 – 1 on penalties	Bournemouth won 3 – 1 on penalties	Bournemouth won 3 – 1 on penalties	Bournemouth won 3 – 1 on penalties
4	Preston North End	1 – 2	Rochdale	4 January 2003	8,762
5	Southampton	4 – 0	Tottenham Hotspur	4 January 2003	25,589
6	Walsall	0 – 0	Reading	4 January 2003	5,987
Replay	Reading	1 – 1	Walsall	14 January 2003	8,767
Walsall won 4 – 1 on penalties	Walsall won 4 – 1 on penalties	Walsall won 4 – 1 on penalties	Walsall won 4 – 1 on penalties	Walsall won 4 – 1 on penalties	Walsall won 4 – 1 on penalties
7	Gillingham	4 – 1	Sheffield Wednesday	7 January 2003	6,434
8	Leicester City	2 – 0	Bristol City	4 January 2003	25,868
9	Aston Villa	1 – 4	Blackburn Rovers	4 January 2003	23,884
10	Bolton Wanderers	1 – 1	Sunderland	4 January 2003	10,123
Replay	Sunderland	2 – 0	Bolton Wanderers	14 January 2003	14,550
11	Grimsby Town	2 – 2	Burnley	4 January 2003	5,350
Replay	Burnley	4 – 0	Grimsby Town	14 January 2003	5,436
12	Macclesfield Town	0 – 2	Watford	4 January 2003	4,244
13	Wolverhampton Wanderers	3 – 2	Newcastle United	5 January 2003	27,316
14	West Bromwich Albion	3 – 1	Bradford City	4 January 2003	19,909
15	Shrewsbury Town	2 – 1	Everton	4 January 2003	7,800
16	Sheffield United	4 – 0	Cheltenham Town	4 January 2003	9,166
17	Ipswich Town	4 – 0	Morecambe	4 January 2003	18,529
18	Manchester City	0 – 1	Liverpool	5 January 2003	28,586
19	Fulham	3 – 1	Birmingham City	5 January 2003	9,203
20	Brentford	1 – 0	Derby County	4 January 2003	8,709
21	West Ham United	3 – 2	Nottingham Forest	4 January 2003	29,612
22	Manchester United	4 – 1	Portsmouth	4 January 2003	67,222
23	Norwich City	3 – 1	Brighton & Hove Albion	14 January 2003	17,205
24	Plymouth Argyle	2 – 2	Dagenham & Redbridge	4 January 2003	11,885
Replay	Dagenham & Redbridge	2 – 0	Plymouth Argyle	14 January 2003	4,530
25	Chelsea	1 – 0	Middlesbrough	4 January 2003	29,796
26	Scunthorpe United	0 – 2	Leeds United	4 January 2003	8,329
27	Cardiff City	2 – 2	Coventry City	4 January 2003	16,013
Replay	Coventry City	3 – 0	Cardiff City	15 January 2003	11,997
28	Charlton Athletic	3 – 1	Exeter City	4 January 2003	18,107
29	Arsenal	2 – 0	Oxford United	4 January 2003	35,432
30	Stoke City	3 – 0	Wigan Athletic	4 January 2003	9,618
31	Rotherham United	0 – 3	Wimbledon	4 January 2003	4,527
32	Cambridge United	1 – 1	Millwall	4 January 2003	6,864
Replay	Millwall	3 – 2	Cambridge United	14 January 2003	7,031
