L.p.	City	Population	Area (km 2 .)	Current voivodeship
2.	Kraków	756 441	326,80	Lesser Poland Voivodeship
9.	Lublin	351 345	147,45	Lublin Voivodeship
13.	Częstochowa	241 449	159,71	Silesian Voivodeship
14.	Radom	224 501	111,80	Masovian Voivodeship
15.	Sosnowiec	221 775	91,06	Silesian Voivodeship
17.	Kielce	205 655	109,65	Swietokrzyskie Voivodeship
22.	Bielsko-Biała	175 476	124,51	Silesian Voivodeship
27.	Dąbrowa Górnicza	128 560	188,73	Silesian Voivodeship
35.	Tarnów	115 769	72,38	Lesser Poland Voivodeship
42.	Jaworzno	95 383	152,67	Silesian Voivodeship
45.	Nowy Sącz	84 492	57,58	Lesser Poland Voivodeship
48.	Siedlce	77 102	32,00	Masovian Voivodeship
53.	Ostrowiec Świętokrzyski	72 888	46,43	Swietokrzyskie Voivodeship
66.	Stalowa Wola	64 753	82,52	Subcarpathian Voivodeship
71.	Mielec	60 979	46,89	Subcarpathian Voivodeship
76.	Będzin	58 559	37,37	Silesian Voivodeship
84.	Starachowice	52 430	31,82	Swietokrzyskie Voivodeship
85.	Zawiercie	52 290	85,25	Silesian Voivodeship
87.	Tarnobrzeg	49 753	85,39	Subcarpathian Voivodeship
88.	Puławy	49 223	50,49	Lublin Voivodeship
92.	Skarżysko-Kamienna	48 308	64,39	Swietokrzyskie Voivodeship
97.	Dębica	46 693	34,02	Subcarpathian Voivodeship
