Round	Player	Position	Nationality	College/Junior/Club Team (League)
1	Mike Ricci	Center	Canada	Peterborough Petes ( OHL )
2	Chris Simon	Left Wing	Canada	Ottawa 67's (OHL)
2	Mikael Renberg	Right Wing	Sweden	Luleå HF ( Elitserien )
2	Terran Sandwith	Defense	Canada	Tri-City Americans ( USHL )
3	Kimbi Daniels	Center	Canada	Swift Current Broncos ( WHL )
3	Bill Armstrong	Defense	Canada	Oshawa Generals (OHL)
3	Chris Therien	Defense	Canada	Ottawa 67's (OHL)
3	Al Kinisky	Defense	United States	Seattle Thunderbirds (WHL)
5	Dan Kordic	Defense	Canada	Medicine Hat Tigers (WHL)
6	Vyacheslav Butsayev	Center	Russia	CSKA Moscow (RUS)
8	Patrik Englund	Left Wing	Sweden	AIK (Elitserien)
9	Toni Porkka	Defense	Finland	Lukko Rauma ( SM-liiga )
10	Greg Hanson	Defense	United States	Bloomington Kennedy High School (Minn.)
11	Tommy Soderstrom	Goaltender	Sweden	Djurgardens IF (Elitserien)
12	Billy Lund	Center	United States	Roseau High School (Minn.)
Sup	Steve Beadle	Defense	United States	Michigan State Spartans ( CCHA )
Sup	Ray Letourneau	Goaltender	United States	Yale Bulldogs ( ECAC )
