Nat.	Name	Since	Goals	Ends	Transfer fee
SCO	Allan McGregor	1998	0	2010	Youth system
SCO	Alan Hutton	2000	4	2012	Youth system
SCO	David Weir	2007 (Winter)	3	2008	Free
BEL	Thomas Buffel	2005 (Winter)	16	2009	£2.3m
BIH	Saša Papac	2006	0	2009	£0.45m
SCO	Barry Ferguson ( captain )	2005 (Winter)	59	2010	£4.5m
ALG	Brahim Hemdani	2005	2	2009	Free
SCO	Kevin Thomson	2007 (Winter)	1	2011	£2m
SCO	Kris Boyd	2005 (Winter)	71	2010	£0.4m
ESP	Nacho Novo	2004	54	2010	£0.45m
SCO	Charlie Adam	2003	18	2012	Youth system
ENG	Ugo Ehiogu	2007 (Winter)	1	2008	Free
NIR	Steven Davis	2008 (Winter)	1	2008	Loan
SEN	Amdy Faye	2007	0	2008	Loan
SCO	Alan Gow	2007	0	2010	Free
SCO	Graeme Smith	2007	0	2010	Free
SCO	Chris Burke	2000	14	2009	Youth system
SCO	Ian Murray	2005	0	2008	Free
SCO	Steven Naismith	2008	5	2012	£1.9m
FRA	Jean-Claude Darcheville	2007	15	2009	Free
USA	DaMarcus Beasley	2007	5	2010	£0.7m
SCO	Kirk Broadfoot	2007	1	2010	Free
SCO	Andy Webster	2008	1	2011	£0.4m
SVK	Filip Šebo	2006	2	2010	£1.8m
SCO	Christian Dailly	2008 (Winter)	2	2008	Free
ESP	Carlos Cuéllar	2007	5	2011	£2.37m
NIR	Roy Carroll	2007	0	2008	Free
SCO	Neil Alexander	2008 (Winter)	0	2011	Free
SCO	Steven Smith	2002	1	2010	Youth system
SCO	Lee McCulloch	2007	7	2011	£2.25m
SCO	Steven Whittaker	2007	5	2012	£2m
GAB	Daniel Cousin	2007	12	2010	£1.1m
SCO	Paul Emslie	2005	0	2010	Youth system
RSA	Dean Furman	2006	0	2008	Free
SCO	John Fleck	2007	0	2011	Youth system
