Player	Nationality	Position	Years in Orlando	School/Club Team
J. J. Redick	United States	Guard	2006–2013	Duke
Don Reid	United States	Forward	2000–2002	Georgetown
Jerry Reynolds	United States	Guard-Forward	1989–1992	Louisiana State
Jason Richardson	United States	Guard	2010–2012	Michigan State
Jeremy Richardson	United States	Forward	2008–2009	Delta State
Quentin Richardson	United States	Forward	2010–2012	DePaul
Stanley Roberts	United States	Center	1991–1992	Louisiana State
James Robinson	United States	Guard	2000–2001	Alabama
Wayne 'Tree' Rollins	United States	Center	1993–1995	Clemson
Sean Rooks	United States	Center	2004	Arizona
Donald Royal	United States	Forward	1992–1996	Notre Dame
Donald Royal	United States	Forward	1997	Notre Dame
