Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2008	Formula BMW Americas	Amir Nasr Racing	2	0	0	0	1	25	10th
2009	Formula BMW Europe	EuroInternational	16	5	6	6	14	392	1st
2009	Formula BMW Pacific	EuroInternational	3	2	2	2	2	0†	NC†
2010	British Formula Three	Räikkönen Robertson Racing	30	1	1	3	4	136	5th
2010	Macau Grand Prix	Räikkönen Robertson Racing	1	0	0	0	0	N/A	11th
2011	British Formula Three	Carlin Motorsport	30	7	4	8	17	318	1st
2011	Macau Grand Prix	Carlin Motorsport	1	0	0	0	1	N/A	2nd
2012	24 Hours of Daytona	Michael Shank Racing	1	0	0	0	1	30	3rd
2012	GP2 Series	DAMS	24	0	0	0	4	95	10th
2012	Formula 3 Euro Series	Carlin	2	0	0	0	0	N/A	NC
2012	Macau Grand Prix	Carlin	1	0	0	0	0	N/A	5th
