Player	Position	Date of Birth (Age)	Caps	Club/province
Simon Best	Prop	11 February 1978	19	Ulster
John Hayes	Prop	2 November 1973	74	Munster
Marcus Horan	Prop	7 September 1977	46	Munster
Bryan Young	Prop	6 November 1981	8	Ulster
Rory Best	Hooker	15 August 1982	13	Ulster
Jerry Flannery	Hooker	17 October 1978	16	Munster
Frankie Sheahan	Hooker	27 August 1976	28	Munster
Donncha O'Callaghan	Lock	23 March 1979	35	Munster
Paul O'Connell	Lock	20 October 1979	44	Munster
Malcolm O'Kelly	Lock	19 July 1974	86	Leinster
Neil Best	Flanker	3 April 1979	13	Ulster
Simon Easterby	Flanker	21 July 1975	57	Scarlets
Stephen Ferris	Flanker	2 September 1985	4	Ulster
Alan Quinlan	Flanker	13 July 1974	25	Munster
David Wallace	Flanker	8 July 1976	37	Munster
Denis Leamy	Number 8	27 November 1981	22	Munster
Isaac Boss	Scrum-half	9 April 1980	9	Ulster
Eoin Reddan	Scrum-half	20 November 1980	3	Wasps
Peter Stringer	Scrum-half	13 December 1977	76	Munster
Ronan O'Gara	Fly-half	7 March 1977	72	Munster
Paddy Wallace	Fly-half	27 August 1979	5	Ulster
Gordon D'Arcy	Centre	10 February 1980	31	Leinster
Gavin Duffy	Centre	18 September 1981	7	Connacht
Brian O'Driscoll ( c )	Centre	21 January 1979	75	Leinster
Brian Carney	Wing	23 July 1976	3	Munster
Denis Hickie	Wing	13 February 1976	58	Leinster
Shane Horgan	Wing	18 July 1978	55	Leinster
Andrew Trimble	Wing	20 October 1984	16	Ulster
Girvan Dempsey	Fullback	2 October 1975	74	Leinster
Geordan Murphy	Fullback	19 April 1978	49	Leicester
