Round	Pick #	Player	Position	College
1	28	Booker Moore	Running back	Penn State
2	49	Chris Williams	Defensive back	LSU
2	49	Byron Franklin	Wide receiver	Auburn
3	76	Mike Mosley	Wide receiver	Texas A&M
3	84	Robert Geathers	Defensive tackle	South Carolina State
5	135	Calvin Clark	Defensive end	Purdue
6	161	Robert Holt	Wide receiver	Baylor
7	188	Steve Doolittle	Linebacker	Colorado
9	241	Robb Riddick	Running back	Millersville (PA)
10	272	Justin Cross	Offensive tackle	Western Colorado
11	299	Buster Barnett	Tight end	Jackson State
12	326	Keith Clark	Linebacker	Memphis State
