Season	LKF Cup	Regional Competitions	Europe	Head Coach
1997–98	Champion	–	Korać Cup Group stage	Modestas Paulauskas , Alfredas Vainauskas
1998–99	–	NEBL 3rd place	Saporta Cup Group stage	Vainauskas , Sakalauskas
1999–00	–	NEBL Finalist	Saporta Cup Semifinalist	Vainauskas , Sakalauskas
2000–01	–	NEBL 3rd place	Suproleague Top 16	Šarūnas Sakalauskas , Alfredas Vainauskas
2001–02	–	NEBL Champion	Saporta Cup Quarterfinalist	Jonas Kazlauskas
2002–03	–	NEBL Finalist	Champions Cup Group stage	Jonas Kazlauskas
2003–04	–	–	ULEB Cup Quarterfinalist	Kazlauskas , Kemzūra
2004–05	–	BBL Elite Division Finalist	ULEB Cup Champion	Vlade Djurović , Tomo Mahorić
2005–06	–	BBL Elite Division Champion	Euroleague Top 16	Neven Spahija
2006–07	Finalist	BBL Elite Division Champion	ULEB Cup Finalist	Drucker , Sagadin , Trifunović
2007–08	Finalist	BBL Elite Division Finalist	Euroleague Top 16	Aleksandar Trifunović
2008–09	Champion	BBL Elite Division Champion	Eurocup Champion	Antanas Sireika , Rimas Kurtinaitis
2009–10	Champion	BBL Elite Division Finalist	Euroleague Group stage	Rimas Kurtinaitis
2010–11	Finalist	BBL Elite Division 3rd place	Euroleague Top 16	Anzulović , Trifunović , Maskoliūnas
2010–11	Finalist	VTB Group Stage	Euroleague Top 16	Anzulović , Trifunović , Maskoliūnas
2011–12	–	BBL Elite Division Finalist	Eurocup 3rd place	Aleksandar Džikić
2011–12	–	VTB 3rd place	Eurocup 3rd place	Aleksandar Džikić
2012–13	–	VTB Group Stage	Euroleague Group Stage	Džikić , Maskoliūnas , Bauermann
