DrumSet Name	Product Line	Years Available	Drum Module	KickDrum Pad	Snare Pad	Tom-Tom Pads	Hi-HatPad/ Controller	CrashandRide CymbalPads	DrumStand (oftenoptional)
HD-1	V-DrumsLite	2007-2012	HD-1	Integrated	PDX-8	3xRubber	CY-5/Integrated	2xCY-5	HD-1/3Stand
HD-3	V-DrumsLite	2012-	HD-3	Integrated	PDX-8	3xCloth-Head	CY-5/Integrated	2xCY-5	HD-1/3Stand
TD-3K	V-Compact	2004-2006	TD-3	KD-8	PD-8	2xPD-8	PD-8 / FD-8	2xCY-8	MDS-3C
TD-3KV	V-Compact	2004-2006	TD-3	KD-8	PD-85	3xPD-8	PD-8 / FD-8	2xCY-8	MDS-3C
TD-3KW	V-Compact	2006-2009	TD-3	KD-8	PDX-8	3xPD-8	CY-5 / FD-8	2xCY-8	MDS-3C
TD-4K	V-Compact	2009-2011	TD-4	KD-8	PDX-8	3xPD-8	CY-5 / FD-8	2xCY-8	MDS-4
TD-4K2	V-Compact	2011-2012	TD-4	KD-9	PDX-8	3xPD-8	CY-5 / FD-8	2xCY-8	MDS-4
TD-4KP	V-DrumsPortable	2012-	TD-4	Rubber	Rubber	3xRubber	CY-5 / FD-8	2xCY-5	TD-4KPStand
TD-4KX	V-Compact	2009-2011	TD-4	KD-8	PDX-8	2xPDX-6, 1xPDX-8	CY-5 / FD-8	2xCY-8	MDS-4
TD-4KX2	V-Compact	2011-2012	TD-4	KD-9	PDX-8	2xPDX-6, 1xPDX-8	CY-5 / FD-8	1xCY-12C, 1xCY-13R	MDS-4
TD-5K	CompactDrum System	1994-199?	TD-5	KD-5	PD-5	2xPD-5	PD-5 / FD-7	1xPD-5	MDS-7
TD-6K	V-Club	2001-2003	TD-6	KD-7	PD-6	3xPD-6	PD-6 / FD-6	2xCY-6	MDS-6
TD-6KV	V-Tour	2003-2008	TD-6V	KD-8	PD-85	3xPD-8	PD-8 / FD-8	2xCY-8	MDS-3C
TD-6KW	V-Tour	2006-2008	TD-6V	KD-8	PDX-8	3xPD-8	CY-5 / FD-8	2xCY-8	MDS-6C
TD-6KX	V-Tour	2006-2008	TD-6V	KD-8	PD-105	3xPD-85	CY-5 / FD-8	1xCY-8, 1xCY-12R/C	MDS-6C
TD-7K	StageKit	1992-199?	TD-7	KD-7	PD-9	2xPD-7, 2xPD-9	PD-7 / FD-7	1xPD-7, 1xPD-9	MDS-7U
TD-8K	V-Custom	1999-2001	TD-8	KD-80	PD-80R	3xPD-80	PD-7 / FD-7	2xPD-7	MDS-8
TD-8KV	V-Stage	2001-2005	TD-8	KD-80	PD-80R	3xPD-80	PD-7 / FD-6	2xCY-12R/C	MDS-8C
TD-9K	V-Tour	2008-2011	TD-9	KD-8	PDX-8	3xPD-8	CY-5 / FD-8	2xCY-8	MDS-9
TD-9K2	V-Tour	2011-2012	TD-9v2.0	KD-9	PDX-8	2xPDX-6, 2xPDX-8	CY-5 / FD-8	1xCY-12C, 1xCY-13R	MDS-9
TD-9KX	V-Tour	2008-2011	TD-9	KD-8	PD-105	3xPD-85	CY-5 / FD-8	1xCY-8, 1xCY-12R/C	MDS-9
TD-9KX2	V-Tour	2011-2012	TD-9v2.0	KD-9	PD-105	3xPD-85	VH-11	1xCY-12C, 1xCY-13R	MDS-9
TD-10K/B	V-Basic	1997-2000	TD-10	KD-7	PD-120	1xPD-100, 1xPD-120	PD-7 / FD-7	1xPD-9	MDS-10
TD-10K	V-Concert	1997-2000	TD-10	KD-7	PD-120	2xPD-100, 1xPD-120	PD-7 / FD-7	3xPD-9	MDS-10
TD-10Set	V-Pro	2000-2004	TD-10 with TDW-1	KD-120	PD-120	2xPD-100, 2xPD-120	CY-12H / FD-7	2xCY-14C, 1xCY-15R	MDS-10
TD-11K	V-Compact	2012-	TD-11	KD-9	PDX-8	3xPD-8A	CY-5 / FD-8	2xCY-8	MDS-4V
TD-11KV	V-Compact	2012-	TD-11	KD-9	PDX-8	2xPDX-6, 1xPDX-8	CY-5 / FD-8	1xCY-12C, 1xCY-13R	MDS-4V
TD-12K	V-Stage	2005-2012	TD-12	KD-85	PD-105	3xPD-85	VH-11	2xCY-12R/C	MDS-12
TD-12KV	V-Stage	2005-2012	TD-12	KD-85	PD-105	3xPD-85	VH-11	3xCY-12R/C	MDS-12
TD-12KX	V-Stage	2008-2012	TD-12	KD-120	PD-105	2xPD-85, 1xPD-105	VH-11	3xCY-12R/C	MDS-12X
TD-15K	V-Tour	2012-	TD-15	KD-9	PDX-8	2xPDX-6, 1xPDX-8	CY-5 / FD-8	1xCY-12C, 1xCY-13R	MDS-9V
TD-15KV	V-Tour	2012-	TD-15	KD-9	PDX-100	2xPD-85, 1xPDX-100	VH-11	1xCY-12C, 1xCY-13R	MDS-9V
TD-20K	V-Pro	2004-2008	TD-20	KD-120	PD-125	2xPD-105, 2xPD-125	VH-12	2xCY-14C, 1xCY-15R	MDS-20
TD-20KX	V-Pro	2008-2012	TD-20X	KD-140	PD-125XS	2xPD-105X, 2xPD-125X	VH-12	2xCY-14C, 1xCY-15R	MDS-25
TD-30K	V-Pro	2012-	TD-30	KD-120	PD-125	3xPDX-100	VH-11	1xCY-12C, 1xCY-13R, 1xCY-15R	MDS-12V
