Rank	Heat	Lane	Name	Nationality	150m	Time
1	14	4	Pieter van den Hoogenband	Netherlands	1:19.56	1:47.36
2	15	4	Michael Phelps	USA	1:20.82	1:47.52
3	14	5	Park Tae-Hwan	South Korea	1:20.73	1:47.58
4	14	2	Kenrick Monk	Australia	1:20.47	1:48.00
5	14	1	Nicola Cassio	Italy	1:21.00	1:48.32
6	14	6	Amaury Leveaux	France	1:21.02	1:48.35
7	15	7	Dominik Meichtry	Switzerland	1:20.48	1:48.49
8	14	3	Brent Hayden	Canada	1:20.53	1:48.62
9	15	5	Massimiliano Rosolino	Italy	1:20.48	1:48.63
10	13	7	Brian Johns	Canada	1:21.28	1:48.72
11	15	6	Paul Biedermann	Germany	1:20.97	1:48.84
12	13	3	Zhang Lin	China	1:22.19	1:48.88
13	15	1	Patrick Murphy	Australia	1:21.29	1:49.01
14	15	3	David Carry	Great Britain	1:21.26	1:49.15
15	13	2	Dominik Koll	Austria	1:22.04	1:49.20
16	12	2	László Cseh	Hungary	1:21.78	1:49.47
17	12	5	Nicolas Oliveira	Brazil	1:22.02	1:49.55
18	13	4	Klete Keller	USA	1:22.36	1:49.58
19	13	1	Fabien Gilot	France	1:21.73	1:49.59
20	12	8	Tiago Venancio	Portugal	1:21.74	1:49.63
21	11	4	David Brandl	Austria	1:21.35	1:49.68
22	11	3	Daisuke Hosokawa	Japan	1:21.53	1:49.79
23	14	7	Jean Basson	South Africa	1:21.36	1:49.82
24	15	8	Nikolaos Xylouris	Greece	1:21.72	1:50.04
25	13	5	Simon Burnett	Great Britain	1:22.55	1:50.11
26	10	4	Michal Rokicki	Poland	1:22.33	1:50.12
27	15	2	Stefan Herbst	Germany	1:22.04	1:50.25
28	10	1	Luka Turk	Slovenia	1:22.66	1:50.36
29	12	3	Zhang Enjian	China	1:22.01	1:50.45
30	13	6	Andreas Zisimos	Greece	1:22.05	1:50.48
31	12	6	Květoslav Svoboda	Czech Republic	1:22.35	1:50.50
32	13	8	Andrey Kapralov	Russia	1:21.71	1:50.55
33	11	5	Shai Liwnat	Israel	1:20.79	1:50.60
34	14	8	Olaf Wildeboer	Netherlands	1:22.43	1:50.72
35	12	1	Sergey Perunin	Russia	1:22.48	1:50.78
36	12	7	Rodrigo Castro	Brazil	1:22.08	1:50.79
37	10	6	Andrew McMillan	New Zealand	1:22.85	1:51.10
38	10	3	Christoffer Wikstrom	Sweden	1:21.85	1:51.25
39	11	1	Michal Rubacek	Czech Republic	1:22.79	1:51.31
40	11	6	Takamitsu Kojima	Japan	1:23.04	1:51.32
41	10	7	Michael Jack	New Zealand	1:23.14	1:51.45
42	11	8	Glenn Surgeloose	Belgium	1:22.98	1:51.66
43	11	7	Lukasz Giminski	Poland	1:23.20	1:51.72
44	9	6	Gard Kvale	Norway	1:23.10	1:51.78
45	7	1	Oleksandr Tsepukh	Ukraine	1:22.66	1:51.83
46	9	4	Nabil Kebbab	Algeria	1:23.51	1:51.95
47	1	6	Saulius Binevičius	Lithuania	1:22.82	1:52.22
48	9	7	Dominik Straga	Croatia	1:22.77	1:52.40
49	8	6	Virdhawal Khade	India	1:23.67	1:52.41
50	11	2	Romans Miloslavskis	Latvia	1:22.12	1:52.44
51	10	5	Adriano Niz	Portugal	1:24.12	1:52.46
52	9	1	Martín Kutscher	Uruguay	1:23.56	1:52.57
53	9	8	Miguel Molina	Philippines	1:23.71	1:52.67
54	9	3	Crox Acuña	Venezuela	1:23.47	1:52.70
55	10	2	Namgyun Lim	South Korea	1:23.75	1:53.01
56	8	1	Jason Dunford	Kenya	1:22.80	1:53.09
57	7	5	Ahmed Mathlouthi	Tunisia	1:23.79	1:53.27
58	9	5	Daniel William Bego	Malaysia	1:25.14	1:53.32
59	8	3	Vitaly Khan	Kazakhstan	1:22.51	1:53.37
60	9	2	Giancarlo Zolezzi Seoane	Chile	1:24.30	1:53.90
61	8	7	Alexandre Bakhtiarov	Cyprus	1:25.11	1:54.25
62	8	2	Mario Montoya	Costa Rica	1:24.98	1:54.70
63	8	5	Salvador Mallat Arcaya	Chile	1:25.23	1:54.71
64	7	3	Igor Čerenšek	Croatia	1:26.77	1:55.04
65	10	8	Zhirong Bryan Tay	Singapore	1:26.89	1:55.70
66	8	4	Mikael Koloyan	Armenia	1:24.79	1:55.99
67	7	2	Timur Irgashev	Uzbekistan	1:26.78	1:56.39
68	5	2	Emanuele Nicolini	San Marino	1:26.83	1:56.61
69	6	6	Kevin Soow Choy Yeap	Malaysia	1:28.25	1:56.65
70	6	3	Mohammad Bidaryan	Iran	1:26.90	1:56.68
71	7	7	Vyacheslav Titarenko	Kazakhstan	1:27.19	1:56.74
72	6	4	Kieran Locke	Virgin Islands	1:26.70	1:57.03
73	7	4	Vasilii Danilov	Kyrgyzstan	1:25.35	1:57.38
74	6	8	Youssef Hafdi	Morocco	1:27.41	1:58.10
75	6	5	Ju Wei Sng	Singapore	1:28.21	1:58.29
76	4	8	Diego Castillo Granados	Panama	1:28.56	1:58.64
77	5	5	Ibrahim Nazarov	Uzbekistan	1:26.51	1:58.76
78	5	6	Wing Cheung Victor Wong	Macau	1:28.38	1:58.88
79	4	2	Christopher Duenas	Guam	1:28.46	1:58.99
80	6	2	Sebastian Jahnsen	Peru	1:28.62	1:59.04
81	8	8	Oscar Jahnsen	Peru	1:28.51	1:59.22
82	6	1	Albert Cristiadi Sutanto	Indonesia	1:29.20	1:59.32
83	4	6	Morgan Locke	Virgin Islands	1:28.68	1:59.42
84	6	7	Srdjan Vujasin	Bosnia and Herzegovina	1:27.65	1:59.44
85	7	8	Waleed Al-Qahtani	Kuwait	1:28.81	1:59.70
86	5	8	Pál Joensen	Faroe Islands	1:28.29	1:59.82
87	4	5	Brian Howard Ho	Indonesia	1:29.04	2:00.09
88	4	7	Fernando Medrano Medina	Nicaragua	1:29.12	2:00.48
89	5	3	Amar Muralidharan	India	1:28.83	2:00.66
90	5	1	Steven Mangroo	Seychelles	1:29.57	2:00.76
91	4	3	Colin Bensadon	Gibraltar	1:29.01	2:01.20
92	5	4	Anas Abuyousuf	Qatar	1:29.69	2:01.40
93	3	4	Loai Tashkandi	Saudi Arabia	1:30.57	2:01.49
94	3	5	Heshan Unamboowe	Sri Lanka	1:31.22	2:02.85
95	3	3	Neil Agius	Malta	1:31.21	2:03.21
96	3	2	Marcelo Alba	Bolivia	1:32.04	2:03.31
97	3	6	Heimanu Sichan	Tahiti	1:32.24	2:03.65
98	4	1	Daniel Lee	Sri Lanka	1:31.17	2:03.76
99	7	6	Emile−Rony Bakale	Congo	1:29.06	2:03.82
100	4	4	Anas Hamadeh	Jordan	1:31.38	2:05.37
101	2	1	Eros Qama	Albania	1:32.62	2:05.80
102	3	7	Oliver Quick	Gibraltar	1:33.34	2:05.95
103	5	7	Rashid Iunusov	Kyrgyzstan	1:32.50	2:06.59
104	2	3	Carlos Shimizu	Guam	1:33.42	2:06.81
105	1	5	Otiko Kpliboh	Nigeria	1:32.78	2:07.28
106	3	1	Malbor Oshafi	Albania	1:33.80	2:07.51
107	3	8	Zane Jordan	Zambia	1:34.05	2:09.74
108	2	5	Yannick Roberts	Guyana	1:36.91	2:10.75
109	2	4	Eli Ebenezer Wong	Northern Mariana Islands	1:38.95	2:12.32
110	2	6	Jamaal Sobers	Guyana	1:41.04	2:16.87
111	1	7	Seraj Mouloud	Libya	1:40.36	2:18.73
112	2	7	Sergey Krovyakov	Turkmenistan	1:40.48	2:19.06
113	2	2	Cooper Theodore Graf	Northern Mariana Islands	1:46.31	2:22.69
114	1	4	Isao Misech	Palau	1:46.16	2:28.81
115	2	8	Ibrahim Shameel	Maldives	1:51.67	2:32.36
116	1	3	Okai Opanka Adu	Ghana	2:00.78	2:48.43
117	1	2	Bernard Blewudzi	Ghana	2:01.44	2:51.98
999	12	4	Ryk Neethling	South Africa	999	999
