Date	Visitor	Score	Home	Record
November 15	Chicago Black Hawks	0–2	Toronto Maple Leafs	0–1–0
November 17	Chicago Black Hawks	2–4	Montreal Maroons	0–2–0
November 20	Pittsburgh Pirates	2–0	Chicago Black Hawks	0–3–0
November 22	New York Rangers	2–1	Chicago Black Hawks	0–4–0
November 25	Boston Bruins	1–1	Chicago Black Hawks	0–4–1
November 29	Chicago Black Hawks	2–3	New York Rangers	0–5–1
December 1	Chicago Black Hawks	3–2	Pittsburgh Pirates	1–5–1
December 6	Chicago Black Hawks	0–2	Ottawa Senators	1–6–1
December 8	Chicago Black Hawks	1–2	Montreal Canadiens	1–7–1
December 11	Ottawa Senators	1–2	Chicago Black Hawks	2–7–1
December 16	New York Americans	1–0	Chicago Black Hawks	2–8–1
December 18	Montreal Canadiens	5–0	Chicago Black Hawks	2–9–1
December 25	Chicago Black Hawks	2–1	Boston Bruins	3–9–1
December 27	Chicago Black Hawks	2–0	New York Americans	4–9–1
December 30	Chicago Black Hawks	1–3	Detroit Cougars	4–10–1
January 1	Detroit Cougars	2–1	Chicago Black Hawks	4–11–1
January 3	Toronto Maple Leafs	2–0	Chicago Black Hawks	4–12–1
January 6	Detroit Cougars	3–1	Chicago Black Hawks	4–13–1
January 8	Chicago Black Hawks	0–1	Pittsburgh Pirates	4–14–1
January 10	Montreal Maroons	1–1	Chicago Black Hawks	4–14–2
January 13	Pittsburgh Pirates	1–1	Chicago Black Hawks	4–14–3
January 15	Chicago Black Hawks	0–1	Montreal Canadiens	4–15–3
January 17	Chicago Black Hawks	0–1	New York Rangers	4–16–3
January 20	Boston Bruins	2–0	Chicago Black Hawks	4–17–3
January 22	Chicago Black Hawks	1–1	Ottawa Senators	4–17–4
January 26	Chicago Black Hawks	0–2	Toronto Maple Leafs	4–18–4
January 29	Chicago Black Hawks	1–4	Boston Bruins	4–19–4
January 31	Chicago Black Hawks	0–2	Montreal Maroons	4–20–4
February 2	New York Rangers	3–2	Chicago Black Hawks	4–21–4
February 5	Chicago Black Hawks	1–0	Detroit Cougars	5–21–4
February 7	Chicago Black Hawks	0–1	New York Americans	5–22–4
February 9	New York Americans	1–0	Chicago Black Hawks	5–23–4
February 14	Montreal Canadiens	1–0	Chicago Black Hawks	5–24–4
February 16	Boston Bruins	3–0	Chicago Black Hawks	5–25–4
February 21	Ottawa Senators	3–0	Chicago Black Hawks	5–26–4
February 24	Detroit Cougars	0–0	Chicago Black Hawks	5–26–5
February 26	Chicago Black Hawks	0–3	Detroit Cougars	5–27–5
February 28	New York Rangers	0–0	Chicago Black Hawks	5–27–6
March 2	Montreal Maroons	1–2	Chicago Black Hawks	6–27–6
March 5	Chicago Black Hawks	2–3	Pittsburgh Pirates	6–28–6
March 7	Toronto Maple Leafs	1–1	Chicago Black Hawks	6–28–7
March 10	Pittsburgh Pirates	0–1	Chicago Black Hawks	7–28–7
March 12	Chicago Black Hawks	1–11	Boston Bruins	7–29–7
March 14	Chicago Black Hawks	1–1	New York Rangers	7–29–8
