Date	Opponent	Venue	Result	Attendance
15 August 2004	Manchester United	H	1-0	41,813
21 August 2004	Birmingham City	A	1-0	28,559
24 August 2004	Crystal Palace	A	2-0	24,953
28 August 2004	Southampton	H	2-1	40,864
11 September 2004	Aston Villa	A	0-0	36,691
19 September 2004	Tottenham Hotspur	H	0-0	42,246
25 September 2004	Middlesbrough	A	1-0	32,341
3 October 2004	Liverpool	H	1-0	42,028
16 October 2004	Manchester City	A	0-1	45,047
23 October 2004	Blackburn Rovers	H	4-0	41,546
30 October 2004	West Bromwich Albion	A	4-1	27,399
6 November 2004	Everton	H	1-0	41,965
13 November 2004	Fulham	A	4-1	21,877
20 November 2004	Bolton Wanderers	H	2-2	42,203
27 November 2004	Charlton Athletic	A	4-0	26,355
4 December 2004	Newcastle United	H	4-0	42,328
12 December 2004	Arsenal	A	2-2	38,153
18 December 2004	Norwich City	H	4-0	42,071
26 December 2004	Aston Villa	H	1-0	41,950
28 December 2004	Portsmouth	A	2-0	20,210
1 January 2005	Liverpool	A	1-0	43,886
4 January 2005	Middlesbrough	H	2-0	40,982
15 January 2005	Tottenham Hotspur	A	2-0	36,105
22 January 2005	Portsmouth	H	3-0	42,267
2 February 2005	Blackburn Rovers	A	1-0	23,414
6 February 2005	Manchester City	H	0-0	42,093
12 February 2005	Everton	A	1-0	40,270
11 March 2005	Norwich City	A	3-1	24,506
15 March 2005	West Bromwich Albion	H	1-0	41,713
19 March 2005	Crystal Palace	H	4-1	41,667
2 April 2005	Southampton	A	3-1	31,949
9 April 2005	Birmingham City	H	1-1	42,031
20 April 2005	Arsenal	H	0-0	41,621
23 April 2005	Fulham	H	3-1	42,081
30 April 2005	Bolton Wanderers	A	2-0	27,653
7 May 2005	Charlton Athletic	H	1-0	42,065
10 May 2005	Manchester United	A	3-1	67,832
15 May 2005	Newcastle United	A	1-1	52,326
