No	Player	Height	Position	Year born	Current Club
4	Theodoros Papaloukas	2.00	Guard	1977	CSKA Moscow
5	Ioannis Bourousis	2.13	Center	1983	Olympiacos
6	Nikolaos Zisis	1.95	Guard	1983	CSKA Moscow
7	Vasileios Spanoulis	1.92	Guard	1982	Panathinaikos
8	Panagiotis Vasilopoulos	2.01	Forward	1984	Olympiacos
9	Michalis Pelekanos	1.98	Forward	1981	Real Madrid
10	Nikolaos Chatzivrettas	1.95	Guard	1977	Panathinaikos
11	Dimosthenis Dikoudis	2.06	Forward	1977	Panathinaikos
12	Konstantinos Tsartsaris	2.09	Center	1979	Panathinaikos
13	Dimitris Diamantidis	1.96	Guard	1980	Panathinaikos
14	Lazaros Papadopoulos	2.10	Center	1980	Real Madrid
