Tournament	2005	2006	2007	2008	2009	2010	2011	2012
Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams
Australian Open	A	A	A	A	2R	1R	1R	3R
French Open	A	A	A	3R	1R	1R	A	A
Wimbledon	1R	2R	1R	2R	1R	2R	QF	1R
US Open	A	A	A	2R	1R	1R	QF	3R
Win-Loss	0–1	1–1	0–1	4–3	1–4	1–4	5–3	4–3
ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals	ATP World Tour Finals
ATP World Tour Finals	A	A	A	A	A	A	A	A
Olympics	Olympics	Olympics	Olympics	Olympics	Olympics	Olympics	Olympics	Olympics
Summer Olympics	Not Held	Not Held	Not Held	A	Not Held	Not Held	Not Held	1R
ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000
Indian Wells Masters	A	A	A	A	QF	1R	A	1R
Miami Masters	A	A	A	A	QF	1R	A	2R
Monte-Carlo Masters	A	A	A	A	A	A	A	A
Rome Masters	A	A	A	A	1R	A	A	A
Madrid Masters	A	A	A	A	QF	A	A	A
Canada Masters	A	A	A	A	1R	A	A	1R
Cincinnati Masters	A	A	A	A	1R	A	A	1R
Shanghai Masters	NM1	NM1	NM1	NM1	A	A	A	SF
Paris Masters	A	A	A	A	A	A	2R	2R
Hamburg Masters	A	A	A	A	NM1	NM1	NM1	NM1
Win-Loss	A	A	A	A	6–6	0–2	1–1	5–6
ATP Final Appearances	0	0	1	3	1	3	1	4
ATP Titles	0	0	0	1	0	1	1	2
Year End Ranking	272	153	92	44	50	51	43	28
