Season #	Series #	Episode title	Original air date	Nick prod. #
1	38	" Tia & Tamera Mowry / LL Cool J "	November16,1996	338
2	39	" Montell Jordan "	November23,1996	339
4	41	" Dru Hill "	December7,1996	341
5	42	" Tyra Banks / Blackstreet "	December14,1996	342
6	43	"Music Special"	December17,1996	343
7	44	" A Tribe Called Quest "	December21,1996	344
8	45	"702"	December28,1996	345
9	46	" Tony! Toni! Tone! "	January4,1997	346
10	47	" Chris Farley / Mint Condition "	January11,1997	347
11	48	" 112 "	January18,1997	348
12	49	" Sherman Hemsley / Nas "	January25,1997	349
13	50	" John Leguizamo / Mona Lisa "	February1,1997	350
14	51	" Ray J "	February8,1997	351
15	52	" For Real "	September20,1997	352
16	53	" Aaliyah "	October4,1997	353
17	54	" Az Yet "	September27,1997	354
18	55	" Monica "	October11,1997	355
19	56	" MC Lyte "	October18,1997	356
