Sanskrit	Pali	Burmese	Khmer	Sinhala	Thai	# of days	~Gregorian
Caitra	Citta	Tagu ( တန်ခူး )	ចេត្រ	Bak	Deuan Ha (เดือน ๕)	29	March–April
Vaisākha	Visakha	Kason ( ကဆုန် )	ពិសាខ	Vesak	Deuan Hok (เดือน ๖)	30	April–May
Jyaiṣṭha	Jeṭṭha	Nayon ( နယုန် )	ជេស្ឋ	Poson	Deuan Chet (เดือน ๗)	29 [30]	May–June
Āṣāḍha	Āsāḷha	Waso ( ဝါဆို )	អាសាធ	Æsala	Deuan Paet (เดือน ๘)	30	June–July
Śrāvaṇa	Sāvaṇa	Wagaung ( ဝါခေါင် )	ស្រាពណ៍	Nikini	Deuan Kao (เดือน ๙)	29	July–August
Bhādrapada	Poṭṭhapāda	Tawthalin ( တော်သလင်း )	ភទ្របទ	Binara	Deuan Sip (เดือน ๑๐)	30	August–September
Āśvina	Assayuja	Thadingyut ( သီတင်းကျွတ် )	អស្សុជ	Wap	Deuan Sip Et (เดือน ๑๑)	29	September–October
Kārttika	Kattikā	Tazaungmon ( တန်ဆောင်မုန်း )	កក្ដិក	Il	Deuan Sip Song (เดือน ๑๒)	30	October–November
Mārgaśirṣa	Māgasira	Nadaw ( နတ်တော် )	មិគសិរ	Undhuvap	Deuan Aai (เดือนอ้าย)	29	November–December
Pauṣa	Phussa	Pyatho ( ပြာသို )	បុស្ស	Dhuruthu	Deuan Yi (เดือนยี่)	30	December–January
Māgha	Māgha	Tabodwe ( တပို့တွဲ )	មាឃ	Navam	Deuan Sam (เดือน ๓)	29	January–February
Phālguna	Phagguṇa	Tabaung ( တပေါင်း )	ផល្គុន	Mædhin	Deuan Si (เดือน ๔)	30	February–March
