Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Deportivo Alavés	42	82	24	10	8	54	25	+29
2	CF Extremadura	42	79	23	10	9	60	38	+22
3	UD Las Palmas	42	73	19	16	7	72	47	+25
4	Villarreal CF	42	73	19	16	7	51	38	+13
5	UE Lleida	42	63	18	9	15	50	46	+4
6	CD Badajoz	42	63	16	15	11	48	37	+11
7	Sevilla FC	42	62	17	11	14	47	44	+3
8	Rayo Vallecano	42	60	17	9	16	51	48	+3
9	Atlético de Madrid B	42	60	16	12	14	64	49	+15
10	SD Eibar	42	57	14	15	13	38	32	+6
11	Hércules CF	42	56	14	14	14	46	43	+3
12	CD Toledo	42	56	14	14	14	43	48	-5
13	CD Leganés	42	53	13	14	15	45	54	-9
14	Albacete	42	50	13	11	18	41	53	-12
15	CA Osasuna	42	50	13	11	18	36	42	-6
16	CD Ourense	42	49	12	13	17	37	46	-9
17	CD Numancia	42	47	10	17	15	33	50	-17
18	CD Logroñes	42	46	10	16	16	38	43	-5
19	Elche CF	42	45	11	12	19	45	56	-11
20	Real Jaén	42	45	9	18	15	39	52	-13
21	Xerez CD	42	38	8	14	20	24	49	-25
22	Levante UD	42	35	8	11	23	37	59	-22
