Date	Opponent	Score	Loss	Record
May 1	Rangers	10 - 4	Tanana (2-3)	14-9
May 1	Rangers	4 - 1	Alexander (1-1)	14-10
May 2	Rangers	7 - 6	Hough (1-4)	15-10
May 4	Royals	4 - 3 (10)	Huismann (0-2)	16-10
May 5	Royals	10 - 1	Jackson (0-3)	17-10
May 6	Royals	2 - 1	Gura (4-1)	18-10
May 7	@ Orioles	Postponed (wet grounds) Rescheduled for May 10	Postponed (wet grounds) Rescheduled for May 10	Postponed (wet grounds) Rescheduled for May 10
May 8	@ Orioles	Postponed (rain) Rescheduled for May 9	Postponed (rain) Rescheduled for May 9	Postponed (rain) Rescheduled for May 9
May 9	@ Orioles	7 - 4	Clancy (2-3)	18-11
May 9	@ Orioles	7 - 3	Key (2-2)	18-12
May 10	@ Orioles	4 - 3 (10)	Martínez (1-1)	19-12
May 11	@ Indians	Postponed (rain) Rescheduled for May 13	Postponed (rain) Rescheduled for May 13	Postponed (rain) Rescheduled for May 13
May 12	@ Indians	8 - 4	Acker (0-2)	19-13
May 13	@ Indians	4 - 4 (8)	Postponed (rain) Rescheduled for August 14	19-13
May 13	@ Indians	Postponed (rain) Rescheduled for August 15	Postponed (rain) Rescheduled for August 15	Postponed (rain) Rescheduled for August 15
May 15	@ Twins	5 - 2 (10)	Davis (2-3)	20-13
May 16	@ Twins	8 - 7	Filson (3-1)	21-13
May 17	White Sox	3 - 2	Hoyt (3-5)	22-13
May 18	White Sox	4 - 3	Burns (2-2)	23-13
May 19	White Sox	1 - 0	Seaver (4-3)	24-13
May 20	White Sox	3 - 0	Stieb (5-1)	24-14
May 21	Twins	3 - 2	Davis (2-4)	25-14
May 22	Twins	3 - 2	Smithson (6-4)	26-14
May 23	Twins	4 - 1	Viola (4-5)	27-14
May 25	Indians	5 - 1	Heaton (2-4)	28-14
May 26	Indians	2 - 1	Farr (0-3)	29-14
May 27	Indians	6 - 1	Sutcliffe (3-4)	30-14
May 27	Indians	6 - 5	Camacho (1-4)	31-14
May 28	@ White Sox	Postponed (rain) Rescheduled for August 30	Postponed (rain) Rescheduled for August 30	Postponed (rain) Rescheduled for August 30
May 29	@ White Sox	8 - 1	Clancy (4-4)	31-15
May 30	@ White Sox	2 - 1	Burns (2-4)	32-15
