Rnd	Race	Date	Location	Pole Position	Fastest Lap	Race Winner	Constructor	Report
1	Argentine Grand Prix	21 January	Buenos Aires	Jacques Laffite	Jacques Laffite	Jacques Laffite	Ligier - Ford	Report
2	Brazilian Grand Prix	4 February	Interlagos	Jacques Laffite	Jacques Laffite	Jacques Laffite	Ligier - Ford	Report
3	South African Grand Prix	3 March	Kyalami	Jean-Pierre Jabouille	Gilles Villeneuve	Gilles Villeneuve	Ferrari	Report
4	United States Grand Prix West	8 April	Long Beach	Gilles Villeneuve	Gilles Villeneuve	Gilles Villeneuve	Ferrari	Report
5	Spanish Grand Prix	29 April	Jarama	Jacques Laffite	Gilles Villeneuve	Patrick Depailler	Ligier - Ford	Report
6	Belgian Grand Prix	13 May	Zolder	Jacques Laffite	Gilles Villeneuve	Jody Scheckter	Ferrari	Report
7	Monaco Grand Prix	27 May	Monaco	Jody Scheckter	Patrick Depailler	Jody Scheckter	Ferrari	Report
8	French Grand Prix	1 July	Dijon-Prenois	Jean-Pierre Jabouille	René Arnoux	Jean-Pierre Jabouille	Renault	Report
9	British Grand Prix	14 July	Silverstone	Alan Jones	Clay Regazzoni	Clay Regazzoni	Williams - Ford	Report
10	German Grand Prix	29 July	Hockenheimring	Jean-Pierre Jabouille	Gilles Villeneuve	Alan Jones	Williams - Ford	Report
11	Austrian Grand Prix	12 August	Österreichring	René Arnoux	René Arnoux	Alan Jones	Williams - Ford	Report
12	Dutch Grand Prix	26 August	Zandvoort	René Arnoux	Gilles Villeneuve	Alan Jones	Williams - Ford	Report
13	Italian Grand Prix	9 September	Monza	Jean-Pierre Jabouille	Clay Regazzoni	Jody Scheckter	Ferrari	Report
14	Canadian Grand Prix	30 September	Île Notre-Dame	Alan Jones	Alan Jones	Alan Jones	Williams - Ford	Report
