Outcome	Year	Championship	Surface	Partner	Opponents	Score
Winner	1981	Wimbledon	Grass	Martina Navrátilová	Kathy Jordan Anne Smith	6–3, 7–6(6)
Runner-up	1981	Australian Open	Grass	Martina Navrátilová	Kathy Jordan Anne Smith	6–2, 7–5
Winner	1982	Wimbledon	Grass	Martina Navratilova	Kathy Jordan Anne Smith	6–4, 6–1
Winner	1982	Australian Open	Grass	Martina Navratilova	Claudia Kohde-Kilsch Eva Pfaff	6–4, 6–2
Winner	1983	Wimbledon	Grass	Martina Navratilova	Rosemary Casals Wendy Turnbull	6–2, 6–2
Winner	1983	US Open	Hard	Martina Navratilova	Rosalyn Fairbank Candy Reynolds	6–7(4), 6–1, 6–3
Winner	1983	Australian Open	Grass	Martina Navratilova	Anne Hobbs Wendy Turnbull	6–4, 6–7, 6–2
Winner	1984	French Open	Clay	Martina Navratilova	Claudia Kohde-Kilsch Hana Mandlíková	5–7, 6–3, 6–2
Winner	1984	Wimbledon	Grass	Martina Navratilova	Kathy Jordan Anne Smith	6–3, 6–4
Winner	1984	US Open	Hard	Martina Navratilova	Anne Hobbs Wendy Turnball	6–2, 6–4
Winner	1984	Australian Open	Grass	Martina Navratilova	Claudia Kohde-Kilsch Helena Suková	6–3, 6–4
Winner	1985	French Open	Clay	Martina Navratilova	Claudia Kohde-Kilsch Eva Pfaff	4–6, 6–2, 6–2
Runner-up	1985	Wimbledon	Grass	Martina Navratilova	Kathy Jordan Elizabeth Smylie	5–7, 6–3, 6–4
Runner-up	1985	US Open	Hard	Martina Navratilova	Claudia Kohde-Kilsch Helena Suková	6–7(5), 6–2, 6–3
Winner	1985	Australian Open	Grass	Martina Navratilova	Claudia Kohde-Kilsch Helena Suková	6–3, 6–4
Winner	1986	Wimbledon	Grass	Martina Navratilova	Hana Mandlíková Wendy Turnbull	6–1, 6–3
Winner	1986	US Open	Hard	Martina Navratilova	Hana Mandlíková Wendy Turnbull	5–7, 6–3, 6–2
Winner	1987	Australian Open	Grass	Martina Navratilova	Zina Garrison Lori McNeil	6–1, 6–0
Winner	1987	French Open	Clay	Martina Navratilova	Steffi Graf Gabriela Sabatini	6–2, 6–1
Winner	1987	US Open	Hard	Martina Navratilova	Kathy Jordan Elizabeth Smylie	5–7, 6–4, 6–2
Winner	1988	Australian Open	Hard	Martina Navratilova	Chris Evert Wendy Turnball	6–0, 7–5
Winner	1988	French Open	Clay	Martina Navratilova	Claudia Kohde-Kilsch Helena Suková	6–2, 7–5
Winner	1989	Australian Open	Hard	Martina Navratilova	Patty Fendick Jill Hetherington	3–6, 6–3, 6–2
Runner-up	1989	US Open	Hard	Mary Joe Fernandez	Hana Mandlíková Martina Navratilova	5–7, 6–4, 6–4
Winner	1991	US Open	Hard	Natasha Zvereva	Jana Novotná Larisa Savchenko	6–4, 4–6, 7–6(5)
