Pos. in 2007	Club	City	Best Position	Seasons in league
1	Aktobe	Aktobe	Champions, twice (2005, 2007)	14
2	Tobol	Kostanay	2nd (2003, 2005, 2007)	15
3	Shakhter	Karagandy	3rd (1995, 2007)	17
4	Irtysh	Pavlodar	Champions, 5 times (1993, 1997, 1999, 2002, 2003)	17
5	Zhetysu	Taldykorgan	5th (2007)	12
6	Almaty	Almaty	5th (2006)	5
7	Vostok	Oskemen	5th (1997, 1998)	17
8	Astana	Astana	Champions, 3 times (2000, 2001, 2006)	17
9	Ordabasy	Shymkent	6th (1999, 2003, 2005)	9
10	Kaisar	Kyzylorda	4th (1998)	14
11	Esil Bogatyr	Petropavl	2nd (1999, 2000)	11
13	Kairat	Almaty	Champions, twice (1992, 2004)	17
14	Atyrau	Atyrau	2nd (2001, 2002)	8
15	Okzhetpes	Kokshetau	9th (2005)	14
2 in FD	Megasport	Almaty	Debut	1
3 in FD	Energetik-2	Ekibastuz (formerly Pavlodar)	16th (2006)	2
