Driver	Constructor	Laps	Time/Retired	Grid
Jacky Ickx	Ferrari	65	1:53:28.3	3
Clay Regazzoni	Ferrari	65	+24.64	1
Denny Hulme	McLaren - Ford	65	+45.97	14
Chris Amon	March - Ford	65	+47.05	5
Jean-Pierre Beltoise	Matra	65	+50.11	6
Pedro Rodriguez	BRM	65	+ 1:24.76	7
Jackie Oliver	BRM	64	+ 1 Lap	13
John Surtees	Surtees - Ford	64	+ 1 Lap	15
Henri Pescarolo	Matra	61	+ 4 Laps	11
Reine Wisell	Lotus - Ford	56	Not Classified	12
Jack Brabham	Brabham - Ford	52	Engine	4
Jackie Stewart	Tyrrell - Ford	33	Suspension	2
Peter Gethin	McLaren - Ford	27	Engine	10
Rolf Stommelen	Brabham - Ford	15	Fuel System	17
François Cevert	March - Ford	8	Engine	9
Graham Hill	Lotus - Ford	4	Overheating	8
Jo Siffert	March - Ford	3	Engine	16
Emerson Fittipaldi	Lotus - Ford	1	Engine	18
