Date	Opponent	Score	Result	Record
May 17	@ Detroit	66-85	Loss	0-1
May 25	@ Washington	66-69	Loss	0-2
May 27	vs. Minnesota	92-98 (OT)	Loss	0-3
May 30	@ Sacramento	66-73	Loss	0-4
June 1	@ Seattle	63-64	Loss	0-5
June 3	vs. San Antonio	75-72	Win	1-5
June 6	@ New York	73-81	Loss	1-6
June 7	@ Indiana	75-84	Loss	1-7
June 14	vs. Seattle	68-60	Win	2-7
June 16	vs. Atlanta	88-79	Win	3-7
June 18	vs. Washington	63-67	Loss	3-8
June 21	@ Minnesota	72-65	Win	4-8
June 24	@ San Antonio	82-81(OT)	Win	5-8
June 26	vs. San Antonio	77-71	Win	6-8
June 28	vs. Indiana	75-61	Win	7-8
July 1	@ Connecticut	68-78	Loss	7-9
July 3	@ Atlanta	72-65	Win	8-9
July 5	vs. Sacramento	73-65	Win	9-9
July 8	@ Phoenix	94-99	Loss	9-10
July 9	@ Los Angeles	74-82(OT)	Loss	9-11
July 12	@ Minnesota	71-85	Loss	9-12
July 17	vs. Minnesota	96-88	Win	10-12
July 19	vs. Los Angeles	75-72(OT)	Win	11-12
July 22	vs. Phoenix	94-92	Win	12-12
July 24	vs. Detroit	79-61	Win	13-12
July 26	vs. Chicago	79-65	Win	14-12
August 28	@ Seattle	49-66	Loss	14-13
August 30	@ Sacramento	65-80	Loss	14-14
September 2	vs. New York	87-90(OT)	Loss	14-15
September 6	vs. Los Angeles	66-84	Loss	14-16
September 7	@ Phoenix	74-99	Loss	14-17
September 9	vs. Connecticut	75-68	Win	15-17
September 14	@ Chicago	79-76	Win	16-17
September 15	vs. Sacramento	90-81	Win	17-17
