Year	Team	Co-Drivers	Class	Laps	Pos.	Class Pos.
1981	Martini Racing	Beppe Gabbiani	Gr.5	47	DNF	DNF
1998	Gulf Team Davidoff GTC Competition	Dr. Thomas Bscher Rinaldo Capello	GT1	228	DNF	DNF
1999	Audi Sport Team Joest	Frank Biela Didier Theys	LMP	360	3rd	2nd
2000	Audi Sport Team Joest	Tom Kristensen Frank Biela	LMP900	368	1st	1st
2001	Audi Sport Team Joest	Tom Kristensen Frank Biela	LMP900	321	1st	1st
2002	Audi Sport Team Joest	Tom Kristensen Frank Biela	LMP900	375	1st	1st
2003	Champion Racing	Stefan Johansson JJ Lehto	LMP900	372	3rd	1st
2004	ADT Champion Racing	JJ Lehto Marco Werner	LMP1	368	3rd	3rd
2005	ADT Champion Racing	Frank Biela Allan McNish	LMP1	364	3rd	3rd
2006	Audi Sport Team Joest	Frank Biela Marco Werner	LMP1	380	1st	1st
2007	Audi Sport Team Joest	Frank Biela Marco Werner	LMP1	369	1st	1st
2008	Audi Sport North America	Frank Biela Marco Werner	LMP1	367	6th	6th
2010	Drayson Racing	Paul Drayson Jonny Cocker	LMP1	254	NC	NC
