Date	Venue	Score	Result	Competition
14 March 2001	Mini Estadi , Barcelona, Spain	0–5	0–5	2002 WCQ
15 August 2001	White Hart Lane , London, England	0–1	0–2	Friendly
5 September 2001	Philips Stadion , Eindhoven , Netherlands	2–0	5–0	2002 WCQ
5 September 2001	Philips Stadion , Eindhoven , Netherlands	4–0	5–0	2002 WCQ
2 April 2003	Sheriff Stadium , Tiraspol , Moldova	1–2	1–2	Euro 2004 Q.
18 August 2004	Råsunda Stadium , Solna , Sweden	1–2	2–2	Friendly
3 September 2004	Galgenwaard Stadium , Utrecht , Netherlands	1–0	3–0	Friendly
15 October 2008	Ullevaal Stadion , Oslo, Norway	0–1	0–1	2010 WCQ
6 June 2009	Laugardalsvöllur , Reykjavík , Iceland	0–2	1–2	2010 WCQ
5 June 2010	Amsterdam ArenA , Amsterdam, Netherlands	4–1	6–1	Friendly
