Date	Site	Sport	Winning team	Series
August 26, 2006	Iowa City	Volleyball	Iowa State	Iowa State 2–0
September 12, 2006	Ames	W Soccer	Iowa	Tied 2–2
September 16, 2006	Iowa City	Football	Iowa	Iowa 5–2
November 30, 2006	Iowa City	W Basketball	Iowa State	Iowa 5–4
December 3, 2006	Iowa City	Wrestling	Iowa	Iowa 7–4
December 8, 2006	Iowa City	M Basketball	Iowa	Iowa 9–4
December 8, 2006	Iowa City	W Swimming	Iowa	Iowa 11–4
March 4, 2007	Iowa City	W Gymnastics	Iowa State	Iowa 11–6
March 23, 2007	Ames	W Gymnastics	Iowa State	Iowa 11–8
April 3, 2007	Iowa City	Softball	Iowa	Iowa 13–8
