No. in series	No. in season	Title	Directed by	Written by	Original air date
40	1	"Babyface"	Peter Tolan	Denis Leary and Peter Tolan	June13,2007
41	2	"Tuesday"	Jace Alexander	Peter Tolan and Denis Leary	June20,2007
42	3	"Commitment"	Jace Alexander	Evan Reilly	June27,2007
43	4	"Pussified"	Jace Alexander	Denis Leary and Peter Tolan	July11,2007
44	5	"Black"	Jace Alexander	Mike Martineau	July18,2007
45	6	"Balance"	Don Scardino	Evan Reilly	July25,2007
46	7	"Seven"	Don Scardino	Peter Tolan and Denis Leary	August1,2007
47	8	"Solo"	Ken Girotti	Denis Leary, Peter Tolan and Evan Reilly	August8,2007
48	9	"Anger"	Ken Girotti	Evan Reilly	August15,2007
49	10	"High"	John Fortenberry	Peter Tolan and Denis Leary	August22,2007
50	11	"Cycle"	John Fortenberry	John Scurti	August29,2007
51	12	"Keefe"	Jace Alexander	Denis Leary, Peter Tolan and Evan Reilly	September5,2007
