Date	Opponent	Score	Loss	Attendance	Record
September 1	Cardinals	8-6	McClellan (2-7)	35,075	70-67
September 2	Cardinals	8-2	Petit (3-4)	27,568	70-68
September 3	Cardinals	4-3	Perez (2-2)	24,350	71-68
September 5	@ Dodgers	7-0	Haren (14-8)	52,270	71-69
September 6	@ Dodgers	7-2	Webb (19-7)	47,543	71-70
September 7	@ Dodgers	5-3	Rauch (4-6)	54,137	71-71
September 8	@ Giants	6-2	Petit (3-5)	30,252	71-72
September 9	@ Giants	5-4	Rauch (4-7)	30,518	71-73
September 10	@ Giants	4-3	Lyon (2-5)	30,992	71-74
September 12	Reds	3-2	Harang (4-16)	29,046	72-74
September 13	Reds	3-2 (10)	Peña (1-2)	45,075	72-75
September 14	Reds	2-1 (10)	Rauch (4-8)	27,297	72-76
September 15	Giants	3-1	Hennessey (1-2)	25,969	73-76
September 16	Giants	2-0	Cain (8-13)	33,195	74-76
September 17	Giants	7-6	Sánchez (9-11)	22,616	75-76
September 18	Giants	3-2	Lincecum (17-4)	34,323	76-76
September 19	@ Rockies	3-2	Scherzer (0-3)	43,137	76-77
September 20	@ Rockies	5-3	Fuentes (1-5)	38,283	77-77
September 21	@ Rockies	13-4	Reynolds (2-8)	32,915	78-77
September 22	@ Cardinals	4-2	Wellemeyer (12-9)	40,349	79-77
September 23	@ Cardinals	7-4	Johnson (10-10)	40,013	79-78
September 24	@ Cardinals	4-2	Scherzer (0-4)	40,029	79-79
September 25	@ Cardinals	12-3	Rosales (1-1)	40,502	79-80
September 26	Rockies	6-4	Grilli (3-3)	34,950	80-80
September 27	Rockies	6-4	Corpas (3-4)	33,234	81-80
September 28	Rockies	2-1	Vizcaíno (1-2)	35,908	82-80
