Class	Wheels	Date	Builder	No. Built
G	4-4-0	1900	Neilson	5
C	0-6-0	1900-4	SECR Ashford (70)	109
C	0-6-0	1901-4	LCDR Longhedge (9)	109
C	0-6-0	1900	Neilson (15)	109
C	0-6-0	1900	Sharp Stewart (15)	109
R1	0-4-4T	1900	Sharp Stewart	15
H	0-4-4T	1904-15	SECR Ashford	66
D	4-4-0	1901	Sharp Stewart (10)	51
D	4-4-0	1903	Stephenson (5)	51
D	4-4-0	1903	Vulcan Foundry (5)	51
D	4-4-0	1903	Dübs (10)	51
D	4-4-0	1901-7	SECR Ashford (21)	51
Terrier	0-6-0T	1875	LBSCR Brighton	50
E	4-4-0	1905-10	SECR Ashford	26
P	0-6-0T	1909-10	SECR Ashford	8
J	0-6-4T	1913	SECR Ashford	5
L	4-4-0	1914	Borsig (10)	22
L	4-4-0	1914	Beyer-Peacock (12)	22
