Week	Date	Opponent	Result	Attendance
1	September 21, 1975	at St. Louis Cardinals	L 23-20	42,172
2	September 28, 1975	Detroit Lions	L 17-14	45,218
3	October 5, 1975	New Orleans Saints	W 14-7	29,444
4	October 12, 1975	at San Francisco 49ers	W 17-3	44,043
5	October 19, 1975	at Los Angeles Rams	L 22-7	64,843
6	October 26, 1975	Cincinnati Bengals	L 21-14	45,811
7	November 2, 1975	at New Orleans Saints	L 23-7	49,342
8	November 9, 1975	at Minnesota Vikings	L 38-0	43,751
9	November 16, 1975	Los Angeles Rams	L 16-7	44,595
10	November 23, 1975	Denver Broncos	W 35-21	28,686
11	November 30, 1975	at Oakland Raiders	L 37-34	50,860
12	December 7, 1975	Washington Redskins	L 30-27	52,809
13	December 14, 1975	San Francisco 49ers	W 31-9	38,501
14	December 21, 1975	at Green Bay Packers	L 22-13	56,267
