Draw	Televotes	Televote Points	Jury Points	Total	Final Points
1	7,446	0	0	0	0
2	9,457	0	0	0	0
3	4,916	0	0	0	0
4	N/A	N/A	N/A	N/A	N/A
5	3,752	0	0	0	0
6	7,894	0	0	0	0
7	58,151	10	12	22	10
8	14,450	0	6	6	2
9	15,918	1	5	6	3
10	3,810	0	0	0	0
11	39,145	6	8	14	8
12	57,818	8	0	8	5
13	6,131	0	0	0	0
14	8,535	0	0	0	0
15	24,244	3	7	10	7
16	26,635	4	0	4	0
17	7,930	0	2	2	0
18	33,709	5	4	9	6
19	20,698	2	3	5	1
20	136,171	12	10	22	12
21	8,229	0	1	1	0
22	7,638	0	0	0	0
23	12,854	0	0	0	0
24	47,722	7	0	7	4
25	3,672	0	0	0	0
