Date	Opponent	Score	Loss	Attendance	Record
May 1	@ White Sox	8 - 2	Morris (1-4)	35,378	13-11
May 2	@ White Sox	6 - 1	McDowell (5-1)	25,715	14-11
May 4	@ Rangers	3 - 2	Ward (0-1)	20,354	14-12
May 5	@ Rangers	7 - 1	Stottlemyre (3-3)	16,159	14-13
May 6	Orioles	10 - 8	McDonald (2-3)	50,505	15-13
May 7	Orioles	3 - 2	Frohwirth (1-2)	50,498	16-13
May 8	Orioles	6 - 3	Linton (0-1)	50,507	16-14
May 9	Orioles	4 - 3	Ward (0-2)	50,473	16-15
May 11	Tigers	12 - 7	Stottlemyre (3-4)	50,493	16-16
May 12	Tigers	13 - 8	Hentgen (4-2)	50,488	16-17
May 13	Tigers	6 - 5	MacDonald (3-1)	50,507	17-17
May 14	@ Yankees	8 - 6	Monteleone (3-3)	27,733	18-17
May 15	@ Yankees	4 - 3	Leiter (1-3)	31,372	18-18
May 16	@ Yankees	12 - 6	Witt (2-1)	31,583	19-18
May 17	@ Red Sox	9 - 3	Clemens (5-3)	30,057	20-18
May 18	@ Red Sox	Postponed (rain) Rescheduled for May 20	Postponed (rain) Rescheduled for May 20	Postponed (rain) Rescheduled for May 20	Postponed (rain) Rescheduled for May 20
May 19	@ Red Sox	10 - 5	Stewart (0-1)	27,465	20-19
May 20	@ Red Sox	4 - 3	Quantrill (2-3)	18,219	21-19
May 21	Twins	11 - 2	Deshaies (5-3)	50,480	22-19
May 22	Twins	7 - 0	Tapani (2-5)	50,510	23-19
May 23	Twins	2 - 1	Erickson (2-6)	50,499	24-19
May 24	Brewers	4 - 1	Boddicker (3-3)	50,494	25-19
May 25	Brewers	4 - 2	Wegman (3-7)	50,504	26-19
May 26	Brewers	8 - 1	Morris (2-5)	50,483	26-20
May 27	Brewers	9 - 3	Leiter (1-4)	50,487	26-21
May 28	@ Athletics	3 - 2	Cox (4-1)	30,351	26-22
May 29	@ Athletics	5 - 3	Welch (4-4)	30,467	27-22
May 30	@ Athletics	13 - 11	Mohler (0-1)	28,167	28-22
May 31	@ Angels	10 - 5	Farrell (2-6)	30,620	29-22
