Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1937	Walter R. Kramer	Bertha Barkhuff	Don Eversoll Chester Goss	Bertha Barkhuff Zoe Smith	Hamilton B. Law Bertha Barkhuff
1938	Walter R. Kramer	Bertha Barkhuff	Hamilton B. Law Richard O. Yeager	Helen Gibson Wanda Bergman	Hamilton B. Law Bertha Barkhuff
1939	David G. Freeman	Mary E. Whittemore	Hamilton B. Law Richard O. Yeager	Bertha Barkhuff Zoe Smith	Richard O. Yeager Zoe Smith
1940	David G. Freeman	Evelyn Boldrick	David G. Freeman Chester Goss	Elizabeth Anselm Helen Zabriski Ough	David G. Freeman Sara Lee Williams
1941	David G. Freeman	Thelma Kingsbury	David G. Freeman Chester Goss	Thelma Kingsbury Janet Wright	David G. Freeman Sara Lee Williams
1942	David G. Freeman	Evelyn Boldrick	David G. Freeman Chester Goss	Evelyn Boldrick Janet Wright	David G. Freeman Sara Lee Williams
1943 – 1946	No competition	No competition	No competition	No competition	No competition
1947	David G. Freeman	Ethel Marshall	David G. Freeman Webster Kimball	Thelma Kingsbury Janet Wright	Wynn Rogers Virginia Hill
1948	David G. Freeman	Ethel Marshall	David G. Freeman Wynn Rogers	Thelma Scovil Janet Wright	Clint Stephens Patricia Stephens
1949	Marten Mendez	Ethel Marshall	Barney McCay Wynn Rogers	Thelma Scovil Janet Wright	Wynn Rogers Loma Moulton Smith
1950	Marten Mendez	Ethel Marshall	Barney McCay Wynn Rogers	Thelma Scovil Janet Wright	Wynn Rogers Loma Moulton Smith
1951	Joseph Cameron Alston	Ethel Marshall	Joe Alston Wynn Rogers	Dorothy Hann Loma Moulton Smith	Wynn Rogers Loma Moulton Smith
1952	Marten Mendez	Ethel Marshall	Joe Alston Wynn Rogers	Ethel Marshall Beatrice Massman	Wynn Rogers Helen Tibbetts
1953	David G. Freeman	Ethel Marshall	Joe Alston Wynn Rogers	Judy Devlin Sue Devlin	Joe Alston Lois Alston
1954 – 1969	See List of U.S. Open Badminton champions	See List of U.S. Open Badminton champions	See List of U.S. Open Badminton champions	See List of U.S. Open Badminton champions	See List of U.S. Open Badminton champions
1970	R. Stanton Hales	Tyna Barinaga	Donald C. Paup James Richard Poole	Tyna Barinaga Caroline Hein	Jim Poole Tyna Barinaga
1971	Stan Hales	Diane Hales	Don Paup Jim Poole	Caroline Hein Carlene Starkey	Don Paup Helen Tibbetts
1972	Chris Kinard	Pam Brady	Donald C. Paup Jim Poole	P. Bretzke Pam Brady	Thomas Carmichael sen. Pam Brady
1973	See List of U.S. Open Badminton champions	See List of U.S. Open Badminton champions	See List of U.S. Open Badminton champions	See List of U.S. Open Badminton champions	See List of U.S. Open Badminton champions
1974	Chris Kinard	Cindy Baker	Donald C. Paup Jim Poole	Pam Brady Diane Hales	Mike Walker Judianne Kelly
1975	Mike Adams	Judianne Kelly	Donald C. Paup Jim Poole	Diane Hales Carlene Starkey	Mike Walker Judianne Kelly
1976	Chris Kinard	Pam Brady	Don Paup Bruce Pontow	Pam Brady Rosine Lemon	Mike Walker Judianne Kelly
1977	Chris Kinard	Pam Brady	Jim Poole Mike Walker	Diana Osterhues Janet Wilts	Bruce Pontow Pam Brady
1978	Mike Walker	Cheryl Carton	John Britton Charles Coakley	Diana Osterhues Janet Wilts	Bruce Pontow Pam Brady
1979	Chris Kinard	Pam Brady	Jim Poole Mike Walker	Pam Brady Judianne Kelly	Mike Walker Judianne Kelly
1980	Gary Higgins	Cheryl Carton	Matt Fogarty Mike Walker	Pam Brady Judianne Kelly	Mike Walker Judianne Kelly
1981	Chris Kinard	Utami Kinard	John Britton Gary Higgins	Pam Brady Judianne Kelly	Danny Brady Pam Brady
1982	Gary Higgins	Cheryl Carton	Don Paup Bruce Pontow	Pam Brady Judianne Kelly	Danny Brady Pam Brady
