Name	Species Specific	Intra-molecular structure	Comparative	Link
Diana-microT	human, mouse	no	yes	webserver
MicroTar	no	no	no	sourcecode
miTarget	no	no	no	webserver
miRror	no	no	no	webserver
PicTar	8 vertebrates	no	yes	predictions
PITA	no	yes	no	executable, webserver, predictions
RNA22	no	no	no	predictions custom
RNAhybrid	no	no	no	sourcecode, webserver
Sylamer	no	no	no	sourcecode webserver
TAREF	Yes	no	no	server/sourcecode
p-TAREF	Yes	no	no	server/standalone
TargetScan	vertebrates, flies, nematodes	evaluated indirectly	yes	sourcecode, webserver
