Number	Name	Position	Height	Experience	College
15	John Barnhill	Guard	6-1	9 yrs.	Tennessee State
35	Roger Brown	Guard-Forward	6-5	4 yrs.	Dayton
33	Larry Cannon	Guard	6-4	2 yrs.	Lasalle
22	Wayne Chapman	Guard-Forward	6-6	3 yrs.	Western Kentucky
34	Mel Daniels	Center	6-9	4 yrs.	New Mexico
20	Darnell Hillman	Forward-Center	6-9	1 yr.	San Jose State
11	Bill Keller	Guard	5-10	3 yrs.	Purdue
15	Arvesta Kelly	Guard	6-2	4 yrs.	Lincoln University
14	Freddie Lewis	Guard	6-0	6 yrs.	Arizona State
30	George McGinnis	Forward-Center	6-8	1 yr.	Indiana
10	Rick Mount	Guard	6-3	1 yr.	Purdue
24	Bob Netolicky	Center-Forward	6-9	4 yrs.	Drake
15	Mike Price	Guard	6-3	1 yr.	Illinois
33	Donald Sidle	Center-Forward	6-8	3 yrs.	Oklahoma
