Circuit	Location	Date	Series	Winning driver	Winning team
Ciudad del Motor de Aragón	Alcañiz , Spain	17 April	FR3.5 1	Mikhail Aleshin	Carlin
Ciudad del Motor de Aragón	Alcañiz , Spain	17 April	FR2.0 1	Kevin Korjus	Koiranen Bros. Motorsport
Ciudad del Motor de Aragón	Alcañiz , Spain	17 April	F4 1	Norman Nato	Autosport Academy
Ciudad del Motor de Aragón	Alcañiz , Spain	18 April	FR3.5 2	Sten Pentus	Fortec Motorsport
Ciudad del Motor de Aragón	Alcañiz , Spain	18 April	FR2.0 2	Kevin Korjus	Koiranen Bros. Motorsport
Ciudad del Motor de Aragón	Alcañiz , Spain	18 April	F4 2	Stoffel Vandoorne	Autosport Academy
Circuit de Spa-Francorchamps	Spa , Belgium	1 May	FR3.5 3	Mikhail Aleshin	Carlin
Circuit de Spa-Francorchamps	Spa , Belgium	1 May	FR2.0 3	Arthur Pic	Tech 1 Racing
Circuit de Spa-Francorchamps	Spa , Belgium	1 May	EMT 1	race cancelled	race cancelled
Circuit de Spa-Francorchamps	Spa , Belgium	1 May	F4 3	Stoffel Vandoorne	Autosport Academy
Circuit de Spa-Francorchamps	Spa , Belgium	2 May	FR3.5 4	Esteban Guerrieri	ISR Racing
Circuit de Spa-Francorchamps	Spa , Belgium	2 May	FR2.0 4	Kevin Korjus	Koiranen Bros. Motorsport
Circuit de Spa-Francorchamps	Spa , Belgium	2 May	EMT 2	Dimitri Enjalbert	Boutsen Energy Racing
Circuit de Spa-Francorchamps	Spa , Belgium	2 May	F4 4	Stoffel Vandoorne	Autosport Academy
Circuit de Monaco	Monte Carlo , Monaco	16 May	FR3.5 5	Daniel Ricciardo	Tech 1 Racing
Masaryk Circuit	Brno , Czech Republic	5 June	FR3.5 6	Esteban Guerrieri	ISR Racing
Masaryk Circuit	Brno , Czech Republic	5 June	FR2.0 5	Arthur Pic	Tech 1 Racing
Masaryk Circuit	Brno , Czech Republic	5 June	EMT 3	Stefano Comini	Oregon Team
Masaryk Circuit	Brno , Czech Republic	6 June	FR3.5 7	Esteban Guerrieri	ISR Racing
Masaryk Circuit	Brno , Czech Republic	6 June	FR2.0 6	Arthur Pic	Tech 1 Racing
Masaryk Circuit	Brno , Czech Republic	6 June	EMT 4	Nick Catsburg	TDS Racing
Circuit de Nevers Magny-Cours	Magny-Cours , France	19 June	FR3.5 8	Mikhail Aleshin	Carlin
Circuit de Nevers Magny-Cours	Magny-Cours , France	19 June	FR2.0 7	Kevin Korjus	Koiranen Bros. Motorsport
Circuit de Nevers Magny-Cours	Magny-Cours , France	19 June	EMT 5	Nick Catsburg	TDS Racing
Circuit de Nevers Magny-Cours	Magny-Cours , France	19 June	F4 5	Franck Matelli	Autosport Academy
Circuit de Nevers Magny-Cours	Magny-Cours , France	20 June	FR3.5 9	Nathanaël Berthon	International DracoRacing
Circuit de Nevers Magny-Cours	Magny-Cours , France	20 June	FR2.0 8	Giovanni Venturini	Epsilon Euskadi
Circuit de Nevers Magny-Cours	Magny-Cours , France	20 June	EMT 6	Pierre Thiriet	TDS Racing
Circuit de Nevers Magny-Cours	Magny-Cours , France	20 June	F4 6	Stoffel Vandoorne	Autosport Academy
Hungaroring	Mogyoród , Hungary	3 July	FR3.5 10	Daniel Ricciardo	Tech 1 Racing
Hungaroring	Mogyoród , Hungary	3 July	FR2.0 9	Arthur Pic	Tech 1 Racing
Hungaroring	Mogyoród , Hungary	3 July	EMT 7	Pierre Thiriet	TDS Racing
Hungaroring	Mogyoród , Hungary	3 July	F4 7	Mathieu Jaminet	Autosport Academy
Hungaroring	Mogyoród , Hungary	4 July	FR3.5 11	Sten Pentus	Fortec Motorsport
Hungaroring	Mogyoród , Hungary	4 July	FR2.0 10	Luciano Bacheta	Interwetten Junior Team
Hungaroring	Mogyoród , Hungary	4 July	EMT 8	Nick Catsburg	TDS Racing
Hungaroring	Mogyoród , Hungary	4 July	F4 8	Mathieu Jaminet	Autosport Academy
Hockenheimring	Hockenheim , Germany	4 September	FR3.5 12	Daniel Ricciardo	Tech 1 Racing
Hockenheimring	Hockenheim , Germany	4 September	FR2.0 11	Kevin Korjus	Koiranen Bros. Motorsport
Hockenheimring	Hockenheim , Germany	4 September	EMT 9	Nick Catsburg	TDS Racing
Hockenheimring	Hockenheim , Germany	4 September	F4 9	Stoffel Vandoorne	Autosport Academy
Hockenheimring	Hockenheim , Germany	5 September	FR3.5 13	Esteban Guerrieri	ISR Racing
Hockenheimring	Hockenheim , Germany	5 September	FR2.0 12	Kevin Korjus	Koiranen Bros. Motorsport
Hockenheimring	Hockenheim , Germany	5 September	EMT 10	Stefano Comini	Oregon Racing
Hockenheimring	Hockenheim , Germany	5 September	F4 10	Stoffel Vandoorne	Autosport Academy
Silverstone Circuit	Silverstone , United Kingdom	18 September	FR3.5 14	Jean-Éric Vergne	Tech 1 Racing
Silverstone Circuit	Silverstone , United Kingdom	18 September	FR2.0 13	Kevin Korjus	Koiranen Bros. Motorsport
Silverstone Circuit	Silverstone , United Kingdom	18 September	EMT 11	Stefano Comini	Oregon Racing
Silverstone Circuit	Silverstone , United Kingdom	18 September	F4 11	Paul-Loup Chatin	Autosport Academy
Silverstone Circuit	Silverstone , United Kingdom	19 September	FR3.5 15	Esteban Guerrieri	ISR Racing
Silverstone Circuit	Silverstone , United Kingdom	19 September	FR2.0 14	Javier Tarancón	Epsilon Euskadi
Silverstone Circuit	Silverstone , United Kingdom	19 September	EMT 12	Nick Catsburg	TDS Racing
Silverstone Circuit	Silverstone , United Kingdom	19 September	F4 12	Paul-Loup Chatin	Autosport Academy
Circuit de Catalunya	Montmeló , Spain	9 October	FR3.5 16	Daniel Ricciardo	Tech 1 Racing
Circuit de Catalunya	Montmeló , Spain	9 October	FR2.0 15	Kevin Korjus	Koiranen Bros. Motorsport
Circuit de Catalunya	Montmeló , Spain	9 October	EMT 13	Nick Catsburg	TDS Racing
Circuit de Catalunya	Montmeló , Spain	9 October	F4 13	Mathieu Jaminet	Autosport Academy
Circuit de Catalunya	Montmeló , Spain	10 October	FR3.5 17	Esteban Guerrieri	ISR Racing
Circuit de Catalunya	Montmeló , Spain	10 October	FR2.0 16	Kevin Korjus	Koiranen Bros. Motorsport
Circuit de Catalunya	Montmeló , Spain	10 October	EMT 14	Nick Catsburg	TDS Racing
