Year	Dates	Champion	Country	Score	Tournament location	Purse ($)	Winner's share ($)
2013	Jul 19–21	P.K. Kongkraphan	Thailand	207 (−9)	Beaver Meadow Golf Course	100,000	15,000
2012	Jul 20–22	Jenny Gleason	United States	211 (−5)	Beaver Meadow Golf Course	100,000	15,000
2011	Jul 22–24	Jessica Shepley	Canada	203 (−13)	Beaver Meadow Golf Course	100,000	14,000
2010	Jul 19–25	Jenny Shin	United States	205 (−11)	Beaver Meadow Golf Course	110,000	15,400
2009	Jul 24–26	Misun Cho	South Korea	207 (−9)	Beaver Meadow Golf Course	90,000	12,600
2008	Jul 25–27	Mo Martin	United States	204 (−12)	Beaver Meadow Golf Course	80,000	11,200
2007	Aug 3–5	Ji Min Jeong	South Korea	209 (−7)	Beaver Meadow Golf Course	75,000	10,500
2006	Aug 4–6	Charlotte Mayorkas	United States	207 (−9)	Beaver Meadow Golf Course	70,000	9,800
2005	Jul 22–24	Kyeong Bae	South Korea	209 (−7)	Beaver Meadow Golf Course	65,000	9,100
2004	Jul 16–18	Erica Blasberg	United States	201 (−15)	Canterbury Woods Country Club	65,000	9,100
