Iowa State vs.	Overall Record	in Ames	at Opponents Venue	at Neutral Site	Last 5 Meetings	Last 10 Meetings	Current Streak	Since Beginning of Big 12
Baylor	ISU, 14–8	ISU, 10–0	BU, 2–7	ISU, 2–1	ISU, 4–1	ISU, 6–4	W 3	ISU, 13–7
Kansas	KU, 174–59	KU, 67–37	KU, 89–15	KU, 18–7	KU, 4–1	KU, 9–1	L 3	KU, 28–7
Kansas State	KSU, 134–77	KSU, 50–48	KSU, 78–21	ISU, 9–7	ISU, 3–2	KSU, 6–4	L 1	KSU, 18–15
Oklahoma	OU, 111–79	ISU, 46–37	OU, 61–22	OU, 13–11	ISU, 4–1	Tied, 5–5	W 1	OU, 13–7
Oklahoma State	OSU, 62–53	ISU, 34–14	OSU, 36–13	OSU, 12–6	OSU, 3–2	OSU, 7–3	W 1	OSU, 16–5
Texas	UT, 14–10	ISU, 7–4	UT, 1–9	ISU, 2–1	UT, 3–2	UT, 8–2	L 1	UT, 13–6
TCU	TCU, 5–3	ISU, 2–1	TCU, 2–1	TCU, 2–0	TCU, 3–2	TCU, 5–3	W 2	N/A
Texas Tech	ISU, 12–11	ISU, 7–3	TTU, 7–2	Tied, 1–1	ISU, 3–2	TTU, 6–4	W 1	TTU, 11–8
West Virginia	ISU, 2-0	ISU, 1-0	ISU, 1-0	N/A	ISU, 2-0	ISU, 2-0	W 2	ISU, 2-0
Iowa State vs.	Overall Record	in Ames	at Opponent's Venue	at Neutral Site	Last 5 Meetings	Last 10 Meetings	Current Streak	Since Beginning of Big 12
Colorado	ISU, 77–70	ISU, 48–18	CU, 48–16	ISU, 13–4	CU, 3–2	Tied, 5–5	L 1	Tied, 16–16
Missouri	MU, 147–84	ISU, 58–47	MU, 84–21	MU, 5–16	MU, 5–0	MU, 8–2	L 9	MU, 18–14
Nebraska	NU, 131–103	ISU, 62–48	NU, 78–33	ISU, 8–5	ISU, 3–2	ISU, 7–3	W 1	ISU, 18–12
Texas A&M	TAMU, 10–7	ISU, 4–3	TAMU, 5–3	Tied, 1–1	TAMU, 3–2	TAMU, 8–2	W 2	TAMU, 10–7
