City	State/Territory	Country	IATA	ICAO	Airport
Adelaide	South Australia	Australia	ADL	YPAD	Adelaide Airport
Auckland	—	New Zealand	AKL	NZAA	Auckland Airport
Ayers Rock	Northern territory	Australia	AYQ	YAYE	Ayers Rock Airport
Ballina	New South Wales	Australia	BNK	YBNA	Ballina Airport
Bangkok	—	Thailand	BKK	VTBS	Suvarnabhumi Airport
Beijing [ends 30 November 2013]	—	China	PEK	ZBAA	Beijing Capital International Airport
Brisbane	Queensland	Australia	BNE	YBBN	Brisbane Airport
Cairns	Queensland	Australia	CNS	YBCS	Cairns Airport
Christchurch	—	New Zealand	CHC	NZCH	Christchurch International Airport
Darwin	Northern Territory	Australia	DRW	YPDN	Darwin International Airport
Denpasar	—	Indonesia	DPS	WADD	Ngurah Rai International Airport
Dunedin	—	New Zealand	DUD	NZDN	Dunedin International Airport
Gold Coast	Queensland	Australia	OOL	YBCG	Gold Coast Airport
Hamilton Island	Queensland	Australia	HTI	YBHM	Great Barrier Reef Airport
Hervey Bay	Queensland	Australia	HVB	YHBA	Hervey Bay Airport
Hobart	Tasmania	Australia	HBA	YMHB	Hobart International Airport
Ho Chi Minh City	—	Vietnam	SGN	VVTS	Tan Son Nhat International Airport
Honolulu	—	United States	HNL	PHNL	Honolulu International Airport
Jakarta	—	Indonesia	CGK	WIII	Soekarno-Hatta International Airport
Kuala Lumpur	—	Malaysia	KUL	WMKK	Kuala Lumpur International Airport
Launceston	Tasmania	Australia	LST	YMLT	Launceston Airport
Mackay	Queensland	Australia	MKY	YBMK	Mackay Airport
Manila	—	Philippines	MNL	RPLL	Ninoy Aquino International Airport
Mataram	—	Indonesia	LOP	WADL	Lombok International Airport
Melbourne / Geelong	Victoria	Australia	AVV	YMAV	Avalon Airport
Melbourne	Victoria	Australia	MEL	YMML	Melbourne Airport
Nadi	—	Fiji	NAN	NFFN	Nadi International Airport
Nagoya	—	Japan	NGO	RJGG	Chūbu Centrair International Airport
Newcastle	New South Wales	Australia	NTL	YWLM	Newcastle Airport
Osaka	—	Japan	KIX	RJBB	Kansai International Airport
Perth	Western Australia	Australia	PER	YPPH	Perth Airport
Phuket	—	Thailand	HKT	VTSP	Phuket International Airport
Proserpine	Queensland	Australia	PPP	YBPN	Whitsunday Coast Airport
Queenstown	—	New Zealand	ZQN	NZQN	Queenstown Airport
Rockhampton	Queensland	Australia	ROK	YBRK	Rockhampton Airport
Singapore	—	Singapore	SIN	WSSS	Singapore Changi Airport
Sunshine Coast	Queensland	Australia	MCY	YBSU	Sunshine Coast Airport
Sydney	New South Wales	Australia	SYD	YSSY	Sydney Airport
Tokyo	—	Japan	NRT	RJAA	Narita International Airport
Townsville	Queensland	Australia	TSV	YBTL	Townsville Airport
Wellington	—	New Zealand	WLG	NZWN	Wellington International Airport
