Week	Date	Opponent	Result	Kickoff Time	Attendance
1	September 7, 2003	Atlanta Falcons	L 27–13	FOX 4:00pm	64,104
2	September 15, 2003	at New York Giants	W 35–32	ABC 9:00pm	78,907
3	Bye	Bye	Bye	Bye	Bye
4	September 28, 2003	at New York Jets	W 17–6	FOX 4:00pm	77,863
5	October 5, 2003	Arizona Cardinals	W 24–7	FOX 1:00pm	63,601
6	October 12, 2003	Philadelphia Eagles	W 23–21	FOX 1:00pm	63,648
7	October 19, 2003	at Detroit Lions	W 38–7	FOX 1:00pm	61,160
8	October 26, 2003	at Tampa Bay Buccaneers	L 16–0	FOX 1:00pm	65,602
9	November 2, 2003	Washington Redskins	W 21–14	FOX 4:00pm	64,002
10	November 9, 2003	Buffalo Bills	W 10–6	CBS 4:00pm	63,770
11	November 16, 2003	at New England Patriots	L 12–0	ESPN 8:30pm	68,436
12	November 23, 2003	Carolina Panthers	W 24–20	FOX 1:00pm	63,871
13	November 27, 2003	Miami Dolphins	L 40–21	CBS 4:00pm	64,110
14	December 7, 2003	at Philadelphia Eagles	L 36–10	FOX 1:00pm	69,773
15	December 14, 2003	at Washington Redskins	W 27–0	FOX 4:00pm	70,284
16	December 21, 2003	New York Giants	W 19–3	FOX 1:00pm	64,118
17	December 28, 2003	at New Orleans Saints	L 13–7	FOX 1:00pm	68,451
