Title and source	Developer	Publisher	First released	Japan	Europe	North America	Exclusive	Move-only
4 Elements →	BooLot Games	BooLot Games	2011-08-30 August 30, 2011	N/A N/A	2011-08-31 August 31, 2011	2011-08-30 August 30, 2011	Yes	No
adidas micoach	Lightning Fish	505 Games	2012-07-13 July 13, 2012	N/A N/A	2012-07-13 July 13, 2012	2012-07-24 July 24, 2012	No	Yes
The Amazing Spider-Man	Beenox	Activision	2012-06-26 June 26,2012	N/A N/A	2012-06-29 June 29,2012	2012-06-26 June 26,2012	No	No
Ape Escape Fury! Fury! →	Japan Studio	Sony Computer Entertainment	2010-12-09 December 9, 2010	2010-12-09 December 9, 2010	2011-06-22 June 22, 2011	2011-07-05 July 5, 2011	Yes	Yes
Auditorium →	Cipher Prime Studios, Inc.	Zoo Games	2010-11-23 November 23, 2010	N/A N/A	2013-01-09 January 9, 2013	2010-11-23 November 23, 2010	No	No
Beat Sketcher! →	Will Co Ltd , Noisycroak	Sony Computer Entertainment	2010-10-21 October 21, 2010	2010-10-21 October 21, 2010	2010-12-01 December 1, 2010	2010-11-23 November 23, 2010	Yes	Yes
BioShock Infinite →	Irrational Games	Take 2	2013-03-26 March 26, 2013	2013-04-25 April 25, 2013	2013-03-26 March 26, 2013	2013-03-26 March 26, 2013	No	No
Blue Toad Murder Files →	Relentless Software	Relentless Software	2009-12-17 December 17, 2009	N/A N/A	2009-12-17 December 17, 2009	2010-03-25 March 25, 2010	No	No
Book of Spells	Sony Computer Entertainment	Sony Computer Entertainment	November 13, 2012 November 13, 2012	N/A N/A	November 16, 2012 November 16, 2012	November 13, 2012 November 13, 2012	Yes	Yes
Brave	Behaviour Interactive	Disney Interactive Studios	2012-06-19 June 19, 2012	N/A N/A	2012-07-27 July 27, 2012	2012-06-19 June 19, 2012	No	No
Brunswick Pro Bowling →	FarSight Studios	Crave Entertainment	2010-09-22 September 22, 2010	N/A N/A	2011-04-08 April 8, 2011	2010-09-22 September 22, 2010	No	No
Buzz!: The Ultimate Music Quiz →	Relentless Software	Sony Computer Entertainment	2010-10-22 October 22, 2010	N/A N/A	2010-10-22 October 22, 2010	N/A N/A	Yes	No
Cabela's Dangerous Hunts 2011 →	Activision	Activision	2010-10-19 October 19, 2010	N/A N/A	2011-05-06 May 6, 2011	2010-10-19 October 19, 2010	No	No
Carnival Island →	Magic Pixel Games , SCE Santa Monica Studio	Sony Computer Entertainment	2011-11-15 November 15, 2011	2011-12-01 December 1, 2011	2011-11-18 November 18, 2011	2011-11-15 November 15, 2011	Yes	Yes
Champion Jockey: G1 Jockey & Gallop Racer	Koei	Tecmo Koei	2011-09-02 September 2, 2011	2011-09-22 September 22, 2011	2011-09-02 September 2, 2011	2011-11-08 November 8, 2011	No	No
Child of Eden →	Q Entertainment	Ubisoft	2011-09-27 September 27, 2011	2011-10-06 October 6, 2011	2011-09-30 September 30, 2011	2011-09-27 September 27, 2011	No	No
