Series number	Episode number	Date of first broadcast	Total viewers	Series average
Series 1	1	27 September 2007	1997000	1242125
Series 1	2	4 October 2007	1475000	1242125
Series 1	3	11 October 2007	1098000	1242125
Series 1	4	18 October 2007	1108000	1242125
Series 1	5	25 October 2007	1077000	1242125
Series 1	6	1 November 2007	1003000	1242125
Series 1	7	8 November 2007	1194000	1242125
Series 1	8	15 November 2007	985000	1242125
Series 2	1	11 September 2008	1074000	975500
Series 2	2	11 September 2008	1044000	975500
Series 2	3	18 September 2008	1081000	975500
Series 2	4	25 September 2008	879000	975500
Series 2	5	2 October 2008	896000	975500
Series 2	6	9 October 2008	969000	975500
Series 2	7	16 October 2008	959000	975500
Series 2	8	23 October 2008	902000	975500
Series 3	1	28 January 2010	924000	837125
Series 3	2	28 January 2010	875000	837125
Series 3	3	4 February 2010	731000	837125
Series 3	4	11 February 2010	805000	837125
Series 3	5	18 February 2010	941000	837125
Series 3	6	25 February 2010	889000	837125
Series 3	7	4 March 2010	806000	837125
Series 3	8	11 March 2010	726000	837125
Series 4	1	1 February 2011	829000	649000
Series 4	2	8 February 2011	665000	649000
Series 4	3	15 February 2011	614000	649000
Series 4	4	22 February 2011	572000	649000
Series 4	5	1 March 2011	661000	649000
Series 4	6	8 March 2011	674000	649000
Series 4	7	15 March 2011	582000	649000
