Class	Wheel arrangement	Fleet number(s)	Manufacturer	Year made	Quantity made	Quantity preserved
0-6-0 — OOO	0-6-0 — OOO	0-6-0 — OOO	0-6-0 — OOO	0-6-0 — OOO	0-6-0 — OOO	0-6-0 — OOO
I	0-6-0	982–999	Baldwin	1883–1887	18	0
I-1	0-6-0	981	NP	1891	1	0
I-2	0-6-0	1000–1002	Dickson	1887	3	0
K-1	0-6-0	948–976	Baldwin	1881–1882	29	0
K-2	0-6-0	980	Baldwin	1882	1	0
L	0-6-0	977–979	Baldwin	1883	3	0
L-1	0-6-0	940–941	Grant	1889	2	0
L-2	0-6-0	930–939	Rome	1887–1890	10	0
L-3	0-6-0	929	Rome	1889	1	0
L-4	0-6-0	926–928	Baldwin	1896	3	0
L-5	0-6-0	923–925	Rogers	1899	3	1
L-6	0-6-0	900–919	Schenectady	1901	20	0
L-7	0-6-0	1020–1035	Baldwin Alco ( Schen. )	1902–1903	15	1
L-8	0-6-0	922	Baldwin	1890	1	0
L-9	0-6-0	1040–1134	Alco ( M / D / P ) Baldwin	1906–1910	95	2
L-10	0-6-0	1160–1169	Alco ( Schen. )	1912	10	0
