Week	Date	Opponent	Result	Record	Game site
1	September 11	Seattle Seahawks	W 26–14	1–0	Alltel Stadium
2	September 18	at Indianapolis Colts	L 10–3	1–1	RCA Dome
3	September 25	at New York Jets	W 26–20 (OT)	2–1	The Meadowlands
4	October 2	Denver Broncos	L 20–7	2–2	Alltel Stadium
5	October 9	Cincinnati Bengals	W 23–20	3–2	Alltel Stadium
6	October 16	at Pittsburgh Steelers	W 23–17 (OT)	4–2	Heinz Field
7	Bye	Bye	Bye	Bye	Bye
8	October 30	at St. Louis Rams	L 24–21	4–3	Edward Jones Dome
9	November 6	Houston Texans	W 21–14	5–3	Alltel Stadium
10	November 13	Baltimore Ravens	W 30–3	6–3	Alltel Stadium
11	November 20	at Tennessee Titans	W 31–28	7–3	The Coliseum
12	November 27	at Arizona Cardinals	W 24–17	8–3	Sun Devil Stadium
13	December 4	at Cleveland Browns	W 20–14	9–3	Paul Brown Stadium
14	December 11	Indianapolis Colts	L 26–18	9–4	Alltel Stadium
15	December 18	San Francisco 49ers	W 10–9	10–4	Alltel Stadium
16	December 24	at Houston Texans	W 38–20	11–4	Reliant Stadium
17	January 1	Tennessee Titans	W 40–13	12–4	Alltel Stadium
NOTES: Division games are in bold text.	NOTES: Division games are in bold text.	NOTES: Division games are in bold text.	NOTES: Division games are in bold text.	NOTES: Division games are in bold text.	NOTES: Division games are in bold text.
