Rider	Bike	Laps	Time	Grid
Max Neukirchner	Suzuki GSX-R1000	24	39:27.918	10
Troy Corser	Yamaha YZF-R1	24	+0.542	1
Troy Bayliss	Ducati 1098 F08	24	+2.249	2
Ruben Xaus	Ducati 1098 RS 08	24	+3.028	3
Carlos Checa	Honda CBR1000RR	24	+5.408	11
Lorenzo Lanzi	Ducati 1098 RS 08	24	+5.518	6
Jakub Smrz	Ducati 1098 RS 08	24	+6.202	7
Gregorio Lavilla	Honda CBR1000RR	24	+18.279	19
Shinichi Nakatomi	Yamaha YZF-R1	24	+19.072	20
Noriyuki Haga	Yamaha YZF-R1	24	+19.132	14
Yukio Kagayama	Suzuki GSX-R1000	24	+28.098	13
Fonsi Nieto	Suzuki GSX-R1000	24	+34.385	9
Shuhei Aoyama	Honda CBR1000RR	24	+34.572	23
Ryuichi Kiyonari	Honda CBR1000RR	24	+34.902	22
David Checa	Yamaha YZF-R1	24	+39.979	18
Sébastien Gimbert	Yamaha YZF-R1	24	+44.669	21
Roberto Rolfo	Honda CBR1000RR	24	+49.290	17
Kenan Sofuoğlu	Honda CBR1000RR	24	+59.304	24
Ayrton Badovini	Kawasaki ZX-10R	19	Retirement	16
Karl Muggeridge	Honda CBR1000RR	17	Retirement	15
Max Biaggi	Ducati 1098 RS 08	11	Accident	5
Michel Fabrizio	Ducati 1098 F08	11	Retirement	4
Makoto Tamada	Kawasaki ZX-10R	6	Accident	12
Jason Pridmore	Honda CBR1000RR	6	Retirement	27
Vittorio Iannuzzo	Kawasaki ZX-10R	3	Accident	25
Régis Laconi	Kawasaki ZX-10R	0	Accident	8
