Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	70	1:30:18.133	2
Fernando Alonso	Renault	70	+8.329	1
Rubens Barrichello	Ferrari	70	+31.622	10
Jarno Trulli	Renault	70	+32.082	5
Jenson Button	BAR - Honda	70	+32.482	4
David Coulthard	McLaren - Mercedes	70	+35.520	3
Kimi Räikkönen	McLaren - Mercedes	70	+36.230	9
Juan Pablo Montoya	Williams - BMW	70	+43.419	6
Mark Webber	Jaguar - Cosworth	70	+52.394	12
Marc Gené	Williams - BMW	70	+58.166	8
Christian Klien	Jaguar - Cosworth	69	+1 Lap	13
Giancarlo Fisichella	Sauber - Petronas	69	+1 Lap	15
Felipe Massa	Sauber - Petronas	69	+1 Lap	16
Cristiano da Matta	Toyota	69	+1 Lap	11
Olivier Panis	Toyota	68	+2 Laps	14
Nick Heidfeld	Jordan - Ford	68	+2 Laps	17
Giorgio Pantano	Jordan - Ford	67	+3 Laps	18
Gianmaria Bruni	Minardi - Cosworth	66	Gearbox	19
Zsolt Baumgartner	Minardi - Cosworth	31	Spin	20
Takuma Sato	BAR - Honda	15	Engine	7
