Nat.	Name	Moving to	Type	Transfer window	Transfer fee	Source
CRC	Gómez	Deportivo Saprissa	Loan return	Summer	—	—
CYP	Neophytou	AEK Larnaca	End of contract	Summer	Free	—
CYP	Sampson	AEL Limassol	End of contract	Summer	Free	—
ARG	Solari	UNAM	Transfer	Summer	€200K	—
CYP	Okkarides	Apollon Limassol	End of contract	Summer	Free	—
CYP	Kythreotis	ASIL Lysi	End of contract	Summer	Free	—
PER	Barreto	Universidad San Martín	Mutual consent	Summer	Free	—
BRA	Evilasio	Pelita Bandung Raya	Contract termination	Winter	Free	—
CYP	Elia	Ethnikos Achna	Loan	Winter	Free	—
BRA	Rubens	Villa Rio	Loan return	Winter	—	—
BRA	Tavares	Maribor	Mutual consent	Winter	Free	—
GRE	Sapanis	Ionikos	Mutual consent	Winter	Free	—
BRA	Emerson	Madureira	Mutual consent	Winter	Free	—
POR	Fernandes	Metalurh Donetsk	Transfer	Winter	€200K	—
