Club	City	Stadium	Capacity	2007–08 season
A.S. Andria BAT	Andria	Stadio degli Ulivi	10,500	17th in Serie C2/C
S.F. Aversa Normanna	Aversa	Stadio Rinascita	2,000	1st Serie D/H
S.S. Barletta Calcio	Barletta	Stadio Cosimo Puttilli	5,000	2nd Serie D/H
S.S. Cassino 1927	Cassino	Stadio Gino Salveti	3,700	8th in Serie C2/C
F.C. Catanzaro	Catanzaro	Stadio Nicola Ceravolo	13,619	10th in Serie C2/C
Cosenza Calcio 1914	Cosenza	Stadio San Vito	24,000	1st Serie D/I
Gela Calcio	Gela	Stadio Vincenzo Presti	4,400	7th in Serie C2/C
F.C. Igea Virtus Barcellona	Barcellona Pozzo di Gotto	Stadio Carlo D'Alcontres	5,000	11th in Serie C2/C
A.C. Isola Liri	Isola del Liri	Stadio Conte A. Mangoni	3,400	1st Serie D/G
S.S. Manfredonia Calcio	Manfredonia	Stadio Miramare	4,076	18th in Serie C1/A
A.S. Melfi	Melfi	Stadio Arturo Valerio	4,500	13th in Serie C2/C
A.C. Monopoli	Monopoli	Stadio Vito Simone Veneziani	6,880	6th in Serie C2/C
A.S. Noicattaro Calcio	Noicattaro	Stadio Comunale	2,500	12th in Serie C2/C
A.S. Pescina Valle del Giovenco	Avezzano	Stadio dei Marsi	4,500	2nd in Serie C2/C
S.S. Scafatese Calcio 1922	Scafati	Stadio Comunale	1,950	16th in Serie C2/C
Pol. Val di Sangro	Atessa	Stadio Montemarcone	2,000	15th in Serie C2/C
U.S. Vibonese Calcio	Vibo Valentia	Stadio Luigi Razza	4,500	14th in Serie C2/C
Vigor Lamezia	Lamezia Terme	Stadio Guido D'Ippolito	4,000	4th in Serie C2/C
