Club	Location	Manager	Kit maker	Shirt sponsor
ADO Den Haag	The Hague	Raymond Atteveld	Hummel	Fit For Free
Ajax	Amsterdam	John van 't Schip	Adidas	Aegon
AZ	Alkmaar	Louis van Gaal	Canterbury of New Zealand	DSB Bank
Feyenoord	Rotterdam	Leon Vlemmings	Kappa	Fortis
De Graafschap	Doetinchem	Darije Kalezić	kwd	Centric
FC Groningen	Groningen	Ron Jans	Klupp	Noord Lease
SC Heerenveen	Heerenveen	Trond Sollied	Jako	Univé
Heracles Almelo	Almelo	Gert Heerkes	Jako	Koninklijke Ten Cate
NAC Breda	Breda	Robert Maaskant	Klupp	Sunweb
N.E.C.	Nijmegen	Mario Been	Nike	Curaçao
PSV	Eindhoven	Dwight Lodeweges	Nike	Philips
Roda JC	Kerkrade	/ Harm van Veldhoven	Diadora	Aevitae
Sparta Rotterdam	Rotterdam	Foeke Booy	Patrick	Graydon
FC Twente	Enschede	Steve McClaren	Diadora	Arke
FC Utrecht	Utrecht	Ton du Chatinier	Puma	Phanos
Vitesse	Arnhem	Theo Bos	Legea	AFAB
FC Volendam	Volendam	Frans Adelaar	Jako	Café Bar
Willem II	Tilburg	Alfons Groenendijk	Masita	Destil
