Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Glynneath RFC	22	0	1	665	251	95	28	14	1	99
Kenfig Hill RFC	22	0	2	898	296	132	33	15	1	96
Aberavon Green Stars RFC	22	1	6	624	263	88	24	8	2	72
Seven Sisters RFC	22	0	9	621	350	82	41	10	7	69
Ystalyfera RFC	22	0	7	565	437	71	50	7	1	68
Brynamman RFC	22	0	11	517	440	59	53	5	5	54
Pencoed RFC	22	1	12	459	536	57	67	5	2	45
Morriston RFC	22	1	14	384	596	50	85	5	3	38
Bryncoch RFC	22	1	15	455	614	51	86	4	4	34
Taibach RFC	22	0	16	296	518	34	68	2	4	30
Nantyffyllon RFC	22	1	17	294	679	35	92	2	2	22
Cwmavon RFC	22	1	19	237	1035	25	152	0	2	12
Correct as of 27 May 2012	Correct as of 27 May 2012	Correct as of 27 May 2012	Correct as of 27 May 2012	Correct as of 27 May 2012	Correct as of 27 May 2012	Correct as of 27 May 2012	Correct as of 27 May 2012	Correct as of 27 May 2012	Correct as of 27 May 2012	Correct as of 27 May 2012
