Date	Tournament	Location	Purse ( $ )	Winner	Score	1st Prize ( $ )
Jan 24	Mitsubishi Electric Championship at Hualalai	Hawaii	1800000	Tom Watson (13)	194 (-22)	315,000
Feb 14	The ACE Group Classic	Florida	1600000	Fred Couples (1)	199 (-17)	240,000
Feb 21	Allianz Championship	Florida	1700000	Bernhard Langer (9)	199 (-17)	255,000
Mar 7	Toshiba Classic	California	1700000	Fred Couples (2)	195 (-18)	255,000
Mar 28	Cap Cana Championship	Dominican Republic	1600000	Fred Couples (3)	195 (-21)	240,000
Apr 18	Outback Steakhouse Pro-Am	Florida	1700000	Bernhard Langer (10)	133 (-9)	255,000
Apr 25	Liberty Mutual Legends of Golf	Georgia	2700000	Mark O'Meara (1) & Nick Price (2)	188 (-28)	230,000 (each)
May 2	Mississippi Gulf Resort Classic	Mississippi	1600000	David Eger (3)	205 (-11)	240,000
May 16	Regions Charity Classic	Alabama	1700000	Dan Forsman (2)	196 (-20)	255,000
May 30	Senior PGA Championship	Colorado	2000000	Tom Lehman (1)	281 (-7)	360,000
Jun 6	Principal Charity Classic	Iowa	1725000	Nick Price (3)	199 (-14)	258,750
Jun 27	Dick's Sporting Goods Open	New York	1700000	Loren Roberts (12)	201 (-15)	255,000
Jul 4	Montreal Championship	Canada	1800000	Larry Mize (1)	199 (-17)	270,000
Jul 25	Senior British Open	Scotland	2000000	Bernhard Langer (11)	279 (-5)	315,600
Aug 1	U.S. Senior Open	Washington	2600000	Bernhard Langer (12)	272 (-8)	470,000
Aug 8	3M Championship	Minnesota	1750000	David Frost (1)	191 (-25)	262,500
Aug 22	JELD-WEN Tradition	Oregon	2600000	Fred Funk (6)	276 (-12)	392,000
Aug 29	Boeing Classic	Washington	1900000	Bernhard Langer (13)	198 (-18)	285,000
Sep 5	Home Care & Hospice First Tee Open at Pebble Beach	California	1800000	Ted Schulz (1)	202 (-14)	270,000
Sep 12	Posco E&C Songdo Championship	South Korea	3000000	Russ Cochran (1)	204 (-12)	450,000
Sep 26	SAS Championship	North Carolina	2100000	Russ Cochran (2)	202 (-14)	315,000
Oct 3	Ensure Classic at Rock Barn	North Carolina	1750000	Gary Hallberg (1)	198 (-18)	262,500
Oct 10	Constellation Energy Senior Players Championship	Maryland	2700000	Mark O'Meara (2)	273 (-7)	405,000
Oct 24	Administaff Small Business Classic	Texas	1700000	Fred Couples (4)	199 (-17)	255,000
Oct 31	AT&T Championship	Texas	1750000	Rod Spittle (1)	201 (-12)	262,500
