Song 1 title	Artist 1	Song 2 title	Artist 2	Mix artist	Guitar part?	Level
" Ace of Spades "	Motörhead	"Groundhog"	Noisia	FreeStyleGames	Yes	Born To Rock
" Ain't No Love in the Heart of the City "	Bobby "Blue" Bland	"Fuzz and Them"	Connie Price & The Keystones	FreeStyleGames	No	Scratching The Surface
" Ain't No Love in the Heart of the City "	Bobby "Blue" Bland	" How Do U Want It "	2Pac	FreeStyleGames	No	Digging Deeper
" All Eyez on Me "	2Pac	" Bittersweet Symphony (Instrumental) "	The Aranbee Pop Symphony Orchestra	FreeStyleGames	No	Breaking Needles
" Another One Bites the Dust "	Queen	" Brass Monkey "	Beastie Boys	DJ Z-Trip	No	DJ Z-Trip Presents
" Another One Bites the Dust "	Queen	" Da Funk "	Daft Punk	FreeStyleGames	No	Scratching The Surface
" Around the World "	Daft Punk	" Bust a Move "	Young MC	FreeStyleGames	No	Daft Punk Record Bag
"Beats"	Shlomo	"The Big Beat"	Billy Squier	FreeStyleGames	No	DJ Yoda Presents
"Beats and Pieces"	Scratch Perverts The Scratch Perverts	n/a	n/a	The Scratch Perverts	No	Scratch Perverts Presents
"The Big Beat"	Billy Squier	" Lapdance "	N.E.R.D.	FreeStyleGames	Yes	Thrashed And Mashed
" Bittersweet Symphony (Instrumental) "	The Aranbee Pop Symphony Orchestra	" Rock the Bells "	LL Cool J	DJ Jazzy Jeff	No	DJ Jazzy Jeff Presents
" Boom Boom Pow "	The Black Eyed Peas	" Satisfaction "	Benny Benassi	FreeStyleGames	No	Digging Deeper
"Boom"	Grandmaster Flash	"Tap"	Grandmaster Flash	Grandmaster Flash	No	Grandmaster Flash Presents
" Bring the Noise 20XX "	Public Enemy featuring Zakk Wylde	"Genesis"	Justice	DJ Z-Trip	No	DJ Z-Trip Presents
" Bring the Noise 20XX (DJ-Guitar Mix) "	Public Enemy featuring Zakk Wylde	n/a	n/a	FreeStyleGames	Yes	Born To Rock
" Bustin' Loose "	Chuck Brown & The Soul Searchers	" Bust a Move "	Young MC	FreeStyleGames	No	Extended Play
" Bustin' Loose "	Chuck Brown & The Soul Searchers	" Time of the Season "	The Zombies	DJ Shadow	No	DJ Shadow Presents
" Change Clothes "	Jay-Z featuring Pharrell Williams	"All Eyez on Me"	2Pac	FreeStyleGames	No	Jay-Z Mixtape
" Da Funk "	Daft Punk	"Strange Enough"	N.A.S.A. featuring Karen O , ODB & Fatlip	FreeStyleGames	No	Daft Punk Record Bag
" Day 'N' Nite "	Kid Cudi	" Boom Boom Pow "	The Black Eyed Peas	FreeStyleGames	No	Revenge Of The Boom Bop
" Disco Inferno "	50 Cent	" Last Night a DJ Saved My Life "	Indeep	FreeStyleGames	No	Breaking Needles
" Disco Inferno "	50 Cent	" Let's Dance "	David Bowie	FreeStyleGames	No	Cut And Paste
" Disturbia "	Rihanna	" Control "	Kid Sister	FreeStyleGames	No	Digging Deeper
" Disturbia "	Rihanna	" Disco Inferno "	The Trammps	FreeStyleGames	No	In The Groove
" Disturbia "	Rihanna	" Somebody Told Me "	The Killers	FreeStyleGames	Yes	Thrashed And Mashed
"The Edge"	David Axelrod	" Eric B. Is President "	Eric B. & Rakim	FreeStyleGames	No	Extended Play
" Excuse Me Miss "	Jay-Z featuring Pharrell Williams	" Give It to Me Baby "	Rick James	FreeStyleGames	No	Jay-Z Mixtape
" Feel Good Inc. "	Gorillaz	" Atomic "	Blondie	FreeStyleGames	No	Party Rockin'
"Fight! Smash! Win!"	Street Sweeper Social Club	" Intergalactic "	Beastie Boys	FreeStyleGames	Yes	Born To Rock
" Fix Up, Look Sharp "	Dizzee Rascal	"Genesis"	Justice	FreeStyleGames	No	In The Groove
