Position	Number	Name	Height	Weight	Class	Hometown	Games↑
LE	91	Robert Ayers	6'3"	260lb.	RS-Sr.	Clio, South Carolina	0
LT	55	* Dan Williams	6'2"	310lb.	RS-Jr.	Memphis, Tennessee	0
RT	98	* Demonté Bolden	6'6"	290lb.	Sr.	Chattanooga, Tennessee	0
RE	94	Wes Brown	6'3"	270lb.	RS-Jr.	Athens, Alabama	0
SLB	20	Nevin McKenzie	6'2"	210lb.	Sr.	San Antonio, Texas	0
MLB	35	Ellix Wilson	5'10"	225lb.	RS-Jr.	Memphis, Tennessee	0
WLB	5	* Rico McCoy	6'1"	215lb.	Jr.	Washington, D.C.	0
RCB	24	* DeAngelo Willingham	6'0"	200lb.	Sr.	Palm Desert, CA	0
LCB	13	* Brent Vinson	6'2"	180lb.	So.	Hampton, Virginia	0
FS	7	Demetrice Morley	6'2"	195lb.	RS-Jr.	Miami, Florida	0
SS	14	* Eric Berry	5'11"	195lb.	So.	Fairburn, Georgia	0
