Year	Film	Award	Category	Result
2010	Unnaipol Oruvan	Edison Awards	Best Introduced Music Director	Won
2012	7aum Arivu	Vijay Awards	Best Debut Actress	Nominated
2012	7aum Arivu	Filmfare Awards South	Best Actress – Tamil	Nominated
2012	7aum Arivu	Filmfare Awards South	Best Female Debut	Won
2012	Anaganaga O Dheerudu	Filmfare Awards South	Best Female Debut	Won
2012	Anaganaga O Dheerudu	CineMAA Awards	Best Female Debut	Won
2013	3	Asiavision Awards	Excellence in Tamil	Won
2013	3	Edison Awards	Best Actress	Nominated
2013	3	Vijay Awards	Best Actress	Nominated
2013	3	Vijay Awards	Best Female Playback Singer	Nominated
2013	3	Filmfare Awards South	Best Actress – Tamil	Nominated
2013	3	Filmfare Awards South	Best Female Playback Singer - Tamil	Nominated
2013	3	SIIMA Awards	Best Actress - Tamil	Nominated
2013	3	SIIMA Awards	Best Female Playback Singer - Tamil	Nominated
2013	Gabbar Singh	SIIMA Awards	Best Actress - Telugu	Won
2013	Gabbar Singh	CineMAA Awards	Best Actress	Nominated
