Constituency	Winner	Party	Margin	Runner-up a	Party a
Madras North	A. V. P. Asaithambi	DMK	45103	K. Manoharan	ADMK
Madras Central	P. Ramachandran	NCO	73411	K. Raja Mohammad	ADMK
Madras South	R. Venkataraman	INC	14829	Murasoli Maran	DMK
Sriperumbudur	S. Jaganathan	ADMK	45932	T. P. Elumalai	NCO
Chengalpattu	R. Mohanarangam	ADMK	35639	Era. Sezhiyan	DMK
Arakkonam	O. V. Alagesa Mudaliar	INC	57864	N. Veeraswamy	DMK
Vellore	V. Dhandayuthapani	NCO	3161	Abdul Samad	IND
Tiruppattur	C. N. Viswanathan	ADMK	98666	C. K. Chinnaraj Gounder	DMK
Vandavasi	Venugopal Gounder	ADMK	81132	Durai Murugan	DMK
Tindivanam	M. R. Lakshmi Narayanan	INC	49485	V. Krishnamoorthy	DMK
Cuddalore	G. Bhuvarahan	INC	89057	S. Radhakrishnan	NCO
Chidambaram	A. Murugesan	ADMK	109234	N. Rajangam	DMK
Dharmapuri	K. Ramamurthy	INC	105686	P. Ponnuswamy	NCO
Krishnagiri	P. V. Periasamy	ADMK	119228	M. Kamalanathan	DMK
Rasipuram	B. Devarajan	INC	133438	Jothi Venkatachalam	NCO
Salem	P. Kannan	ADMK	79604	K. Rajaram	DMK
Tiruchengode	R. Kolanthaivelu	ADMK	128180	M. Muthusamy	DMK
Nilgiris	P. S. Ramalingam	ADMK	59346	M. K. Nanja Gowder	NCO
Gobichettipalayam	K. S. Ramaswamy	INC	105458	N. K. Karuppuswamy	NCO
Coimbatore	Parvathi Krishnan	CPI	21178	S. V. Lakshmanan	NCO
Pollachi	K. A. Raju	ADMK	124194	C. T. Dhandapani	DMK
Palani	C. Subramaniam	INC	221768	K. N. Saminathan	DMK
Dindigul	K. Maya Thevar	ADMK	169224	A. Balasubramaniam	CPM
Madurai	R. V. Swaminathan	INC	134345	P. Ramamurthi	CPM
Periyakulam	S. Ramasamy	ADMK	204392	Palanivel Rajan	DMK
Karur	K. Gopal	INC	145520	M. Meenakshi Sundaram	NCO
Tiruchirappalli	M. Kalyanasundaram	CPI	76045	Y. Venkateswara Dikshidar	NCO
Perambalur	A. Asokaraj	ADMK	180027	J. S. Raju	DMK
Mayiladuthurai	N. Kudanthai Ramalingam	INC	74265	S. Govindasamy	NCO
Nagapattinam	S. G. Murugaiyan	CPI	40810	M. Thazhai Karunanithi	DMK
Thanjavur	S. D. Somasundaram	ADMK	97743	L. Ganesan	DMK
Pudukkottai	V. S. Elanchezhiyan	ADMK	223615	V. Vairava Thevar	NCO
Sivaganga	P. Thiagarajan	ADMK	211533	R. Ramanathan Chettiar	NCO
Ramanathapuram	P. Anbalagan	ADMK	175130	M. S. K. Sathiyendran	DMK
Sivakasi	V. Jeyalakshmi	INC	114848	G. Ramanujuam	NCO
Tirunelveli	V. Arunachalam	ADMK	182693	Samsuddin alias K. M. Kathiravan	DMK
Tenkasi	M. Arunachalam	INC	186878	S. Rajagopalan	NCO
Tiruchendur	K. T. Kosalram	INC	120190	Edwin Devadasan	NCO
