Date	Visitor	Score	Home	Decision	Attendance	Record
December 1	Colorado	5 – 2	Los Angeles	LaBarbera	17,297	10–14–1
December 3	Edmonton	4 – 3	Los Angeles	Aubin	14,193	10–14–2
December 5	Los Angeles	1 – 4	Phoenix	Aubin	11,401	10–15–2
December 6	Buffalo	2 – 8	Los Angeles	Quick	15,980	11–15–2
December 8	Phoenix	4 – 2	Los Angeles	Aubin	16,053	11–16–2
December 10	Vancouver	2 – 4	Los Angeles	Aubin	15,087	12–16–2
December 12	Los Angeles	3 – 6	Chicago	Quick	12,534	12–17–2
December 13	Los Angeles	1 – 4	Dallas	Quick	17,913	12–18–2
December 15	Minnesota	2 – 1	Los Angeles	Aubin	16,648	12–19–2
December 17	Colorado	4 – 2	Los Angeles	LaBarbera	16,647	12–20–2
December 19	Los Angeles	2 – 6	Detroit	LaBarbera	19,516	12–21–2
December 21	Los Angeles	1 – 2	Columbus	LaBarbera	14,034	12–22–2
December 22	Los Angeles	3 – 4	Nashville	LaBarbera	15,698	12–23–2
December 26	San Jose	3 – 2	Los Angeles	LaBarbera	18,118	12–24–2
December 29	Los Angeles	3 – 1	Colorado	Aubin	17,256	13–24–2
December 30	Los Angeles	3 – 2	Chicago	LaBarbera	21,715	14–24–2
