School	Years of Participation	OCC Championships	Last OCC Championship	Last Outright OCC Championship
Big Walnut	1997–present	7	2011	2008
Central Crossing	2002–present	0	——	——
Chillicothe	1977–2005	3	1990	1990
Delaware Hayes	1968–present	2	1996	1996
Dublin Coffman	1991–present	6	2012	2009
Dublin Jerome	2004–present	1	2008	——
Dublin Scioto	1995–present	3	2003	2003
Franklin Heights	1981–present	4	1997	1997
Gahanna Lincoln	1968–present	14	2001	1998
Grove City	1981–present	9	2005	2005
Groveport Madison	1974–present	3	1982	——
Hilliard Bradley	2009–present	0	——	——
Hilliard Darby	1997–present	2	2012	2012
Hilliard Davidson	1974–present	13	2012	2011
Lancaster	1997–present	4	2007	2006
Marysville	1991–present	4	2007	2000
Mount Vernon	1968–present	3	2002	1998
New Albany	2006–present	4	2012	2012
Newark	1997–present	2	2005	2005
Olentangy	1997–present	0	——	——
Olentangy Liberty	2004–present	5	2011	2005
Olentangy Orange	2008–present	2	2011	——
Pickerington Central	1981–present	14	2012	2011
Pickerington North	2004–present	2	2012	——
Pleasant View	1968–1969	0	——	——
Reynoldsburg	1968–present	1	1992	——
Thomas Worthington	1968–present	9	1992	1986
Upper Arlington	1981–present	10	2008	2008
Watkins Memorial	1991–present	3	2006	——
Westerville Central	2004–present	2	2011	2006
Westerville North	1977–present	5	1995	1995
Westerville South	1968–present	9	2011	2010
Westland	1970–present	3	1993	1993
Whitehall Yearling	1968–1999	5	1993	1985
Worthington Kilbourne	1991–present	3	2005	2005
