Game	January	Opponent	Score	Record	Points
40	3	@ Atlanta Flames	3–1	17–17–6	40
41	7	@ Buffalo Sabres	0–2	17–18–6	40
42	11	Los Angeles Kings	2–3	17–19–6	40
43	13	@ Chicago Black Hawks	3–2	18–19–6	42
44	14	New York Rangers	2–5	18–20–6	42
45	18	Minnesota North Stars	6–1	19–20–6	44
46	20	@ Montreal Canadiens	3–6	19–21–6	44
47	21	@ Buffalo Sabres	4–3	20–21–6	46
48	23	Detroit Red Wings	4–4	20–21–7	47
49	25	Pittsburgh Penguins	6–3	21–21–7	49
50	27	@ Pittsburgh Penguins	5–3	22–21–7	51
51	28	California Golden Seals	4–3	23–21–7	53
