Name	Nickname	Location	Home ground(s)	Coach	Captain
Bayswater-Morley District Cricket Club [a ]	Bears	Bayswater	Hillcrest Reserve	Craig Kirkby	Simon Allison
Claremont-Nedlands Cricket Club [b ]	Tigers	Nedlands	Cresswell Park Melvista Oval	Tim Cusack	Jim Allenby
Fremantle District Cricket Club	Freo	Fremantle	Stevens Reserve	Joe Piromalli	Chris Wood
Gosnells Cricket Club	Hawks	Southern River	Sutherlands Park	Russell De Lain	Anthony Caddy
Joondalup Districts Cricket Club [d ]	Northern Centurions	Iluka	Iluka Sports Complex	Ric Olsen	Michael Swart
Melville Cricket Club	Storm	Alfred Cove	Tompkins Park	Brad Thompson	Drew Porter
Midland-Guildford Cricket Club	Swans	Caversham	Lilac Hill Park	Bruce Yardley	Chris Pivac
Mount Lawley District Cricket Club [e ]	Hawks	Dianella	Breckler Park	Graeme Allen	Shane Rakich
Perth Cricket Club [f ]	Demons	Carlisle	Fletcher Park	Steve Mayne	Christiaan Moir
Rockingham-Mandurah District Cricket Club	Mariners	Secret Harbour	Lark Hill Sports Complex	Wayne Clark	Aaron Heal
Scarborough Cricket Club	Gulls	Scarborough	Abbett Park	Mark Coles	Michael Johnson
South Perth Cricket Club	Sky Blues	South Perth	Richardson Park	Kim Hagdorn	Marshall Hood
Subiaco-Floreat Cricket Club [h ]	Lions	Floreat	Floreat Oval	Brett Bowker	Alex Malcolm
University Cricket Club	Students	Crawley	James Oval	Will Stibbs	Josh Mangan
Wanneroo District Cricket Club	Roos	Madeley	Kingsway Reserve	Andy Oram	Robert Fairchild
Willetton District Cricket Club [i ]	Dragons	Willetton	Burrendah Reserve	Aaron Harwood	Kris Elliot
